smiles,actual_exp,pred_exp,residual
BrC(Br)(Br)Br,3.42,2.5150313,-0.9049686622619628
BrC(Br)Br,2.535,-0.24202128,-2.7770212775468828
BrC1C2CC3C(C2)C13,3.11,4.399135,1.2891351127624513
BrC1CC2CCC1C2,3.54,2.9165149,-0.6234851264953614
BrC1CCCCC1,3.2,4.3957725,1.1957724571228026
BrC=C(Br)Br,3.2,1.3428926,-1.8571073532104494
BrC=CBr,1.76,3.9881318,2.2281317615509035
BrCBr,1.79,5.102803,3.3128032302856445
BrCC(CBr)(CBr)CBr,3.99,2.6408277,-1.3491723442077639
BrCC1CO1,0.85,3.4219453,2.571945333480835
BrCCBr,1.96,3.0814502,1.1214502239227295
BrCCCBr,2.37,3.6398952,1.26989520072937
BrCCCc1ccccc1,3.72,3.2684834,-0.45151659965515156
BrCCc1ccccc1,3.09,2.0894465,-1.000553455352783
BrCc1ccccc1,2.92,3.2739289,0.3539288806915284
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,0.2829251,-5.787074900865555
Brc1c2ccccc2c(Br)c2ccccc12,6.29,1.823243,-4.466756978034973
Brc1c2ccccc2cc2ccccc12,5.37,2.2711816,-3.098818416595459
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,6.03,2.141863,-3.888136892318726
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,0.0010454208,-5.498954579234123
Brc1cc(Br)c(Br)cc1Br,5.13,2.595969,-2.5340310382843017
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.54,2.4066365,-0.1333635234832764
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,0.11890106,-8.591098940968514
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,8.27,0.3264566,-7.9435433936119075
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,1.2982937,-6.1017062902450565
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.82,1.7229346,-6.097065396308899
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,7.9,2.5784924,-5.321507596969605
Brc1cc(Br)c2ccc3cccc4ccc1c2c43,6.85,2.42932,-4.420679903030395
Brc1cc(Br)cc(Br)c1,4.51,3.7422807,-0.7677192783355711
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8,0.4634691,-2.3365309119224547
Brc1cc2ccc3cccc4ccc(c1)c2c34,5.8,2.9305394,-2.86946063041687
Brc1cc2cccc3ccc4cccc1c4c32,5.84,-1.5162607,-7.356260743141174
Brc1cc2ccccc2nn1,1.72,4.597132,2.877132205963135
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,0.22774515,-5.872254854440689
Brc1ccc(-c2cc3ccccn3c2)cc1,5.43,1.9040576,-3.525942378044128
Brc1ccc(-c2ccc(Br)cc2)cc1,5.72,2.8631582,-2.856841773986816
Brc1ccc(-c2ccccc2)cc1,4.96,3.33028,-1.629719934463501
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,1.7729827,-5.327017283439636
Brc1ccc(Br)c(NC2=NCCN2)c1,2.71,2.3008583,-0.40914174079895016
Brc1ccc(Br)cc1,3.79,7.2994494,3.5094494438171386
Brc1ccc(NC2=NCCN2)cc1,1.75,0.701314,-1.0486860275268555
Brc1ccc(O[Si]23OCCN(CCO2)CCO3)cc1,0.58,-1.3532127,-1.9332127141952515
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,7.24,0.6889521,-6.551047911643982
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.32,0.8333857,-6.486614294052124
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,7.37,1.3695084,-6.000491614341736
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,6.81,3.5577364,-3.252263603210449
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,5.94,4.1051393,-1.8348607444763188
Brc1ccc(Oc2ccccc2Br)c(Br)c1,5.74,2.8179665,-2.9220335388183596
Brc1ccc2[nH]ccc2c1,3.0,1.5082688,-1.4917311668395996
Brc1ccc2ccc3c(Br)ccc4ccc1c2c43,6.69,1.7354234,-4.954576554298401
Brc1ccc2ccc3ccc(Br)c4ccc1c2c34,6.73,2.643969,-4.086030941009522
Brc1ccc2ccc3cccc4ccc1c2c34,5.81,2.2263355,-3.5836644744873043
Brc1ccc2cccnc2c1,2.92,1.9848297,-0.9351703357696532
Brc1ccc2ncccc2c1,2.83,2.6301522,-0.1998477745056153
Brc1cccc(-c2ccccc2)c1,4.85,0.05580291,-4.794197088479995
Brc1cccc(-c2cnc(SCCc3cnc[nH]3)[nH]2)c1,3.76,0.17337257,-3.586627433300018
Brc1cccc(Br)c1,3.75,0.5951253,-3.1548746824264526
Brc1cccc(Br)c1NC1=NCCN1,1.96,0.8318977,-1.1281023240089416
Brc1cccc(NC2=NCCN2)c1Br,2.16,2.8466475,0.6866475009918211
Brc1cccc(O[Si]23OCCN(CCO2)CCO3)c1,0.26,3.1844985,2.9244985485076906
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,1.9770254,-4.072974610328674
Brc1ccccc1,2.99,3.2722266,0.28222657203674295
Brc1ccccc1-c1ccccc1,4.59,2.8815162,-1.708483781814575
Brc1ccccc1Br,3.64,0.5066287,-3.133371307849884
Brc1ccccn1,1.42,0.26358876,-1.1564112436771392
Brc1cccnc1,1.6,1.0307382,-0.5692617654800416
Brc1cccs1,2.75,3.3098924,0.5598924160003662
Brc1ccncc1,1.54,1.4828749,-0.05712512969970707
Brc1ccoc1,2.18,1.786073,-0.39392703056335465
Brc1ccsc1,2.62,0.38674998,-2.233250017166138
Brc1ccsc1Br,3.53,1.9168845,-1.6131154584884642
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,1.9316671,-2.17833291053772
Brc1cnc2ccccc2c1,3.03,0.74329305,-2.286706953048706
Brc1cnccn1,0.93,3.6652374,2.7352374267578123
Brc1cncnc1,0.72,1.8876857,1.1676856565475464
Brc1n[nH]c(Br)n1,2.24,3.3947122,1.1547122097015379
Brc1nc(Br)c(Br)[nH]1,1.96,1.3006843,-0.6593156671524047
Brc1ncccn1,0.5,3.3310764,2.8310763835906982
C,1.09,0.46936798,-0.6206320190429688
C#C,0.37,3.4200466,3.05004656791687
C#CC,0.94,2.1044846,1.1644845581054688
C#CC(=NOCC1OCCO1)c1ccccc1,2.76,2.4360387,-0.32396126747131326
C#CC(C)(C)N(C)C(C)C,2.29,1.1289138,-1.1610862398147583
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,1.8817725,-1.5482274818420412
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0,2.111232,-0.8887679576873779
C#CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1,1.6,1.9310094,0.3310094118118285
C#CC(C)(C)O,0.28,0.83263373,0.5526337337493896
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,1.3576516,-1.6423484086990356
C#CC(C)O/C(O)=N/c1ccc(OCC)c(OCC)c1,2.68,0.8030342,-1.87696581363678
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,1.2411617,-2.3488382959365843
C#CC(C=C)(CC)OC(=N)O,1.09,-0.10871543,-1.1987154299020768
C#CC(C=CCl)(CC)OC(N)=O,1.71,2.2202113,0.5102112674713135
C#CC(CC)O/C(O)=N/c1ccc(OCC)c(OCC)c1,3.07,1.9543959,-1.115604109764099
C#CC/N=C(/O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.0,1.8819848,-0.11801517009735107
C#CC/N=C(\O)NCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,-0.31,0.7781334,1.0881333923339844
C#CC/N=C(\O)NCCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,0.23,2.6880493,2.45804931640625
C#CC/N=c1/nc(CCC)nc(N2CCOCC2)[nH]1,2.3,2.2738116,-0.02618842124938947
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.11,1.8956271,-1.2143728590011595
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,3.16,4.1217427,0.9617427253723143
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,2.97,0.8736827,-2.096317322254181
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,3.93,0.7917892,-3.138210825920105
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,3.516,1.7061199,-1.8098801050186157
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,2.9615886,-0.7084113788604736
C#CC1(O)CCCCC1,1.73,4.156919,2.426919002532959
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.49,3.6875625,-0.8024375343322756
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,4.44,2.3299356,-2.110064449310303
C#CCC,1.46,2.9452684,1.4852683925628662
C#CCC(C)O/C(O)=N/c1ccc(OCC)c(OCC)c1,2.86,3.2190068,0.3590067768096925
