Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 1/300, Train Acc: 0.5036, Test Acc: 0.4881
Epoch 2/300, Train Acc: 0.5098, Test Acc: 0.4893
Epoch 3/300, Train Acc: 0.5104, Test Acc: 0.5714
Epoch 4/300, Train Acc: 0.5196, Test Acc: 0.5119
Epoch 5/300, Train Acc: 0.5301, Test Acc: 0.5690
Epoch 6/300, Train Acc: 0.5449, Test Acc: 0.5214
Epoch 7/300, Train Acc: 0.5726, Test Acc: 0.5607
Epoch 8/300, Train Acc: 0.5690, Test Acc: 0.5679
Epoch 9/300, Train Acc: 0.5813, Test Acc: 0.5702
Epoch 10/300, Train Acc: 0.5673, Test Acc: 0.5750
Epoch 11/300, Train Acc: 0.5813, Test Acc: 0.5750
Epoch 12/300, Train Acc: 0.5952, Test Acc: 0.5762
Epoch 13/300, Train Acc: 0.5940, Test Acc: 0.5488
Epoch 14/300, Train Acc: 0.5792, Test Acc: 0.5393
Epoch 15/300, Train Acc: 0.5676, Test Acc: 0.5536
Epoch 16/300, Train Acc: 0.5780, Test Acc: 0.5905
Epoch 17/300, Train Acc: 0.5973, Test Acc: 0.5905
Epoch 18/300, Train Acc: 0.6054, Test Acc: 0.5929
Epoch 19/300, Train Acc: 0.6054, Test Acc: 0.5893
Epoch 20/300, Train Acc: 0.6119, Test Acc: 0.5607
Epoch 21/300, Train Acc: 0.6036, Test Acc: 0.5929
Epoch 22/300, Train Acc: 0.5967, Test Acc: 0.6012
Epoch 23/300, Train Acc: 0.6235, Test Acc: 0.5917
Epoch 24/300, Train Acc: 0.6217, Test Acc: 0.6024
Epoch 25/300, Train Acc: 0.6262, Test Acc: 0.5917
Epoch 26/300, Train Acc: 0.6185, Test Acc: 0.5976
Epoch 27/300, Train Acc: 0.6327, Test Acc: 0.6107
Epoch 28/300, Train Acc: 0.6333, Test Acc: 0.6167
Epoch 29/300, Train Acc: 0.6387, Test Acc: 0.6131
Epoch 30/300, Train Acc: 0.6310, Test Acc: 0.6274
Epoch 31/300, Train Acc: 0.6393, Test Acc: 0.6048
Epoch 32/300, Train Acc: 0.6333, Test Acc: 0.6048
Epoch 33/300, Train Acc: 0.6351, Test Acc: 0.6381
Epoch 34/300, Train Acc: 0.6348, Test Acc: 0.6143
Epoch 35/300, Train Acc: 0.6432, Test Acc: 0.6381
Epoch 36/300, Train Acc: 0.6354, Test Acc: 0.6333
Epoch 37/300, Train Acc: 0.6426, Test Acc: 0.6286
Epoch 38/300, Train Acc: 0.6402, Test Acc: 0.6107
Epoch 39/300, Train Acc: 0.6452, Test Acc: 0.6250
Epoch 40/300, Train Acc: 0.6461, Test Acc: 0.6214
Epoch 41/300, Train Acc: 0.6455, Test Acc: 0.6143
Epoch 42/300, Train Acc: 0.6467, Test Acc: 0.6345
Epoch 43/300, Train Acc: 0.6449, Test Acc: 0.6571
Epoch 44/300, Train Acc: 0.6464, Test Acc: 0.6286
Epoch 45/300, Train Acc: 0.6458, Test Acc: 0.6179
Epoch 46/300, Train Acc: 0.6479, Test Acc: 0.6298
Epoch 47/300, Train Acc: 0.6438, Test Acc: 0.6405
Epoch 48/300, Train Acc: 0.6515, Test Acc: 0.6524
Epoch 49/300, Train Acc: 0.6473, Test Acc: 0.6369
Epoch 50/300, Train Acc: 0.6521, Test Acc: 0.6286
Epoch 51/300, Train Acc: 0.6512, Test Acc: 0.6238
Epoch 52/300, Train Acc: 0.6554, Test Acc: 0.6345
Epoch 53/300, Train Acc: 0.6530, Test Acc: 0.6560
Epoch 54/300, Train Acc: 0.6661, Test Acc: 0.6536
Epoch 55/300, Train Acc: 0.6610, Test Acc: 0.6667
Epoch 56/300, Train Acc: 0.6687, Test Acc: 0.6631
Epoch 57/300, Train Acc: 0.6750, Test Acc: 0.6524
Epoch 58/300, Train Acc: 0.6589, Test Acc: 0.6714
Epoch 59/300, Train Acc: 0.6720, Test Acc: 0.6512
Epoch 60/300, Train Acc: 0.6723, Test Acc: 0.6702
Epoch 61/300, Train Acc: 0.6673, Test Acc: 0.6643
Epoch 62/300, Train Acc: 0.6795, Test Acc: 0.6702
Epoch 63/300, Train Acc: 0.6824, Test Acc: 0.6631
Epoch 64/300, Train Acc: 0.6685, Test Acc: 0.6786
Epoch 65/300, Train Acc: 0.6869, Test Acc: 0.6821
Epoch 66/300, Train Acc: 0.6690, Test Acc: 0.6810
Epoch 67/300, Train Acc: 0.6830, Test Acc: 0.6952
Epoch 68/300, Train Acc: 0.6842, Test Acc: 0.6857
Epoch 69/300, Train Acc: 0.6866, Test Acc: 0.6893
Epoch 70/300, Train Acc: 0.6851, Test Acc: 0.6833
Epoch 71/300, Train Acc: 0.6893, Test Acc: 0.6619
Epoch 72/300, Train Acc: 0.6887, Test Acc: 0.6881
Epoch 73/300, Train Acc: 0.6863, Test Acc: 0.7048
Epoch 74/300, Train Acc: 0.6902, Test Acc: 0.7012
Epoch 75/300, Train Acc: 0.6875, Test Acc: 0.6845
Epoch 76/300, Train Acc: 0.6976, Test Acc: 0.6845
Epoch 77/300, Train Acc: 0.6890, Test Acc: 0.7000
Epoch 78/300, Train Acc: 0.6896, Test Acc: 0.6976
Epoch 79/300, Train Acc: 0.6878, Test Acc: 0.6821
Epoch 80/300, Train Acc: 0.6952, Test Acc: 0.6429
Epoch 81/300, Train Acc: 0.6926, Test Acc: 0.6571
Epoch 82/300, Train Acc: 0.6988, Test Acc: 0.7012
Epoch 83/300, Train Acc: 0.6967, Test Acc: 0.6929
Epoch 84/300, Train Acc: 0.6949, Test Acc: 0.6964
Epoch 85/300, Train Acc: 0.7027, Test Acc: 0.7107
Epoch 86/300, Train Acc: 0.7083, Test Acc: 0.7036
Epoch 87/300, Train Acc: 0.7030, Test Acc: 0.7036
Epoch 88/300, Train Acc: 0.7107, Test Acc: 0.7131
Epoch 89/300, Train Acc: 0.7095, Test Acc: 0.7000
Epoch 90/300, Train Acc: 0.7083, Test Acc: 0.6940
Epoch 91/300, Train Acc: 0.7125, Test Acc: 0.7107
Epoch 92/300, Train Acc: 0.7080, Test Acc: 0.6917
Epoch 93/300, Train Acc: 0.7045, Test Acc: 0.7143
Epoch 94/300, Train Acc: 0.7190, Test Acc: 0.7119
Epoch 95/300, Train Acc: 0.7092, Test Acc: 0.7202
Epoch 96/300, Train Acc: 0.7012, Test Acc: 0.7107
Epoch 97/300, Train Acc: 0.7104, Test Acc: 0.7214
Epoch 98/300, Train Acc: 0.7104, Test Acc: 0.7226
Epoch 99/300, Train Acc: 0.7220, Test Acc: 0.6940
Epoch 100/300, Train Acc: 0.7164, Test Acc: 0.7107
Epoch 101/300, Train Acc: 0.7086, Test Acc: 0.7095
Epoch 102/300, Train Acc: 0.7086, Test Acc: 0.6964
Epoch 103/300, Train Acc: 0.7143, Test Acc: 0.7190
Epoch 104/300, Train Acc: 0.7205, Test Acc: 0.7238
Epoch 105/300, Train Acc: 0.7202, Test Acc: 0.7190
Epoch 106/300, Train Acc: 0.7190, Test Acc: 0.7214
Epoch 107/300, Train Acc: 0.7128, Test Acc: 0.7286
Epoch 108/300, Train Acc: 0.7232, Test Acc: 0.7286
Epoch 109/300, Train Acc: 0.7205, Test Acc: 0.7262
Epoch 110/300, Train Acc: 0.7152, Test Acc: 0.7155
Epoch 111/300, Train Acc: 0.7318, Test Acc: 0.7357
Epoch 112/300, Train Acc: 0.7152, Test Acc: 0.7143
Epoch 113/300, Train Acc: 0.7217, Test Acc: 0.7310
Epoch 114/300, Train Acc: 0.7280, Test Acc: 0.7298
Epoch 115/300, Train Acc: 0.7229, Test Acc: 0.7440
Epoch 116/300, Train Acc: 0.7289, Test Acc: 0.7262
Epoch 117/300, Train Acc: 0.7202, Test Acc: 0.7238
Epoch 118/300, Train Acc: 0.7208, Test Acc: 0.7381
Epoch 119/300, Train Acc: 0.7333, Test Acc: 0.7464
Epoch 120/300, Train Acc: 0.7369, Test Acc: 0.7571
Epoch 121/300, Train Acc: 0.7432, Test Acc: 0.7345
Epoch 122/300, Train Acc: 0.7226, Test Acc: 0.7274
Epoch 123/300, Train Acc: 0.7292, Test Acc: 0.7202
Epoch 124/300, Train Acc: 0.7211, Test Acc: 0.7369
Epoch 125/300, Train Acc: 0.7396, Test Acc: 0.7429
Epoch 126/300, Train Acc: 0.7429, Test Acc: 0.7345
Epoch 127/300, Train Acc: 0.7360, Test Acc: 0.7381
Epoch 128/300, Train Acc: 0.7277, Test Acc: 0.7274
Epoch 129/300, Train Acc: 0.7244, Test Acc: 0.7417
Epoch 130/300, Train Acc: 0.7378, Test Acc: 0.7476
Epoch 131/300, Train Acc: 0.7310, Test Acc: 0.7262
Epoch 132/300, Train Acc: 0.7295, Test Acc: 0.7405
Epoch 133/300, Train Acc: 0.7259, Test Acc: 0.7440
Epoch 134/300, Train Acc: 0.7408, Test Acc: 0.7298
Epoch 135/300, Train Acc: 0.7420, Test Acc: 0.7440
Epoch 136/300, Train Acc: 0.7342, Test Acc: 0.7536
Epoch 137/300, Train Acc: 0.7440, Test Acc: 0.7452
Epoch 138/300, Train Acc: 0.7390, Test Acc: 0.7595
Epoch 139/300, Train Acc: 0.7518, Test Acc: 0.7476
Epoch 140/300, Train Acc: 0.7488, Test Acc: 0.7429
Epoch 141/300, Train Acc: 0.7551, Test Acc: 0.7619
Epoch 142/300, Train Acc: 0.7497, Test Acc: 0.7298
Epoch 143/300, Train Acc: 0.7375, Test Acc: 0.7202
Epoch 144/300, Train Acc: 0.7390, Test Acc: 0.7464
Epoch 145/300, Train Acc: 0.7470, Test Acc: 0.7440
Epoch 146/300, Train Acc: 0.7607, Test Acc: 0.7488
Epoch 147/300, Train Acc: 0.7393, Test Acc: 0.7595
Epoch 148/300, Train Acc: 0.7470, Test Acc: 0.7417
Epoch 149/300, Train Acc: 0.7500, Test Acc: 0.7286
Epoch 150/300, Train Acc: 0.7503, Test Acc: 0.7548
Epoch 151/300, Train Acc: 0.7571, Test Acc: 0.7583
Epoch 152/300, Train Acc: 0.7491, Test Acc: 0.7655
Epoch 153/300, Train Acc: 0.7494, Test Acc: 0.7560
Epoch 154/300, Train Acc: 0.7637, Test Acc: 0.7690
Epoch 155/300, Train Acc: 0.7443, Test Acc: 0.7583
Epoch 156/300, Train Acc: 0.7533, Test Acc: 0.7524
Epoch 157/300, Train Acc: 0.7479, Test Acc: 0.7310
Epoch 158/300, Train Acc: 0.7521, Test Acc: 0.7643
Epoch 159/300, Train Acc: 0.7527, Test Acc: 0.7536
Epoch 160/300, Train Acc: 0.7583, Test Acc: 0.7690
Epoch 161/300, Train Acc: 0.7598, Test Acc: 0.7429
Epoch 162/300, Train Acc: 0.7643, Test Acc: 0.7690
Epoch 163/300, Train Acc: 0.7545, Test Acc: 0.7643
