Processing...
Done!
Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 1/300, Train Acc: 0.5073, Test Acc: 0.4994
Epoch 2/300, Train Acc: 0.4939, Test Acc: 0.5364
Epoch 3/300, Train Acc: 0.5210, Test Acc: 0.4994
Epoch 4/300, Train Acc: 0.5139, Test Acc: 0.5006
Epoch 5/300, Train Acc: 0.5243, Test Acc: 0.5530
Epoch 6/300, Train Acc: 0.5219, Test Acc: 0.5769
Epoch 7/300, Train Acc: 0.5434, Test Acc: 0.5745
Epoch 8/300, Train Acc: 0.5532, Test Acc: 0.5507
Epoch 9/300, Train Acc: 0.5610, Test Acc: 0.5471
Epoch 10/300, Train Acc: 0.5690, Test Acc: 0.5650
Epoch 11/300, Train Acc: 0.5649, Test Acc: 0.5626
Epoch 12/300, Train Acc: 0.5637, Test Acc: 0.5936
Epoch 13/300, Train Acc: 0.5854, Test Acc: 0.5864
Epoch 14/300, Train Acc: 0.5684, Test Acc: 0.5662
Epoch 15/300, Train Acc: 0.5840, Test Acc: 0.6150
Epoch 16/300, Train Acc: 0.5887, Test Acc: 0.5793
Epoch 17/300, Train Acc: 0.5923, Test Acc: 0.6150
Epoch 18/300, Train Acc: 0.6030, Test Acc: 0.5793
Epoch 19/300, Train Acc: 0.6024, Test Acc: 0.6162
Epoch 20/300, Train Acc: 0.6007, Test Acc: 0.6162
Epoch 21/300, Train Acc: 0.6045, Test Acc: 0.6019
Epoch 22/300, Train Acc: 0.6108, Test Acc: 0.6138
Epoch 23/300, Train Acc: 0.6153, Test Acc: 0.6126
Epoch 24/300, Train Acc: 0.6051, Test Acc: 0.6174
Epoch 25/300, Train Acc: 0.6239, Test Acc: 0.6198
Epoch 26/300, Train Acc: 0.6105, Test Acc: 0.6257
Epoch 27/300, Train Acc: 0.6188, Test Acc: 0.6400
Epoch 28/300, Train Acc: 0.6141, Test Acc: 0.6305
Epoch 29/300, Train Acc: 0.6287, Test Acc: 0.6448
Epoch 30/300, Train Acc: 0.6239, Test Acc: 0.6436
Epoch 31/300, Train Acc: 0.6254, Test Acc: 0.6508
Epoch 32/300, Train Acc: 0.6156, Test Acc: 0.6269
Epoch 33/300, Train Acc: 0.6293, Test Acc: 0.6424
Epoch 34/300, Train Acc: 0.6335, Test Acc: 0.6448
Epoch 35/300, Train Acc: 0.6373, Test Acc: 0.6377
Epoch 36/300, Train Acc: 0.6308, Test Acc: 0.6532
Epoch 37/300, Train Acc: 0.6400, Test Acc: 0.6329
Epoch 38/300, Train Acc: 0.6412, Test Acc: 0.6496
Epoch 39/300, Train Acc: 0.6472, Test Acc: 0.6567
Epoch 40/300, Train Acc: 0.6436, Test Acc: 0.6198
Epoch 41/300, Train Acc: 0.6460, Test Acc: 0.6663
Epoch 42/300, Train Acc: 0.6415, Test Acc: 0.6544
Epoch 43/300, Train Acc: 0.6361, Test Acc: 0.6698
Epoch 44/300, Train Acc: 0.6460, Test Acc: 0.6734
Epoch 45/300, Train Acc: 0.6475, Test Acc: 0.6603
Epoch 46/300, Train Acc: 0.6508, Test Acc: 0.6615
Epoch 47/300, Train Acc: 0.6311, Test Acc: 0.6234
Epoch 48/300, Train Acc: 0.6463, Test Acc: 0.6722
Epoch 49/300, Train Acc: 0.6481, Test Acc: 0.6794
Epoch 50/300, Train Acc: 0.6633, Test Acc: 0.6603
Epoch 51/300, Train Acc: 0.6555, Test Acc: 0.6663
Epoch 52/300, Train Acc: 0.6567, Test Acc: 0.6746
Epoch 53/300, Train Acc: 0.6624, Test Acc: 0.6901
Epoch 54/300, Train Acc: 0.6636, Test Acc: 0.6889
Epoch 55/300, Train Acc: 0.6716, Test Acc: 0.6579
Epoch 56/300, Train Acc: 0.6549, Test Acc: 0.6555
Epoch 57/300, Train Acc: 0.6663, Test Acc: 0.6889
Epoch 58/300, Train Acc: 0.6731, Test Acc: 0.6830
Epoch 59/300, Train Acc: 0.6687, Test Acc: 0.6973
Epoch 60/300, Train Acc: 0.6758, Test Acc: 0.6913
Epoch 61/300, Train Acc: 0.6716, Test Acc: 0.6961
Epoch 62/300, Train Acc: 0.6791, Test Acc: 0.6985
Epoch 63/300, Train Acc: 0.6833, Test Acc: 0.6937
Epoch 64/300, Train Acc: 0.6818, Test Acc: 0.7056
Epoch 65/300, Train Acc: 0.6824, Test Acc: 0.7020
Epoch 66/300, Train Acc: 0.6809, Test Acc: 0.7044
Epoch 67/300, Train Acc: 0.6746, Test Acc: 0.7044
Epoch 68/300, Train Acc: 0.6797, Test Acc: 0.6985
Epoch 69/300, Train Acc: 0.6857, Test Acc: 0.6758
Epoch 70/300, Train Acc: 0.6737, Test Acc: 0.7020
Epoch 71/300, Train Acc: 0.6880, Test Acc: 0.7044
Epoch 72/300, Train Acc: 0.6877, Test Acc: 0.7020
Epoch 73/300, Train Acc: 0.6761, Test Acc: 0.7056
Epoch 74/300, Train Acc: 0.6946, Test Acc: 0.7092
Epoch 75/300, Train Acc: 0.6946, Test Acc: 0.7056
Epoch 76/300, Train Acc: 0.7015, Test Acc: 0.7235
Epoch 77/300, Train Acc: 0.6910, Test Acc: 0.7008
Epoch 78/300, Train Acc: 0.6955, Test Acc: 0.7306
Epoch 79/300, Train Acc: 0.6973, Test Acc: 0.6841
Epoch 80/300, Train Acc: 0.6916, Test Acc: 0.7247
Epoch 81/300, Train Acc: 0.7086, Test Acc: 0.7366
Epoch 82/300, Train Acc: 0.7098, Test Acc: 0.7211
Epoch 83/300, Train Acc: 0.7012, Test Acc: 0.7044
Epoch 84/300, Train Acc: 0.7068, Test Acc: 0.6925
Epoch 85/300, Train Acc: 0.7116, Test Acc: 0.7390
Epoch 86/300, Train Acc: 0.7024, Test Acc: 0.7199
Epoch 87/300, Train Acc: 0.7062, Test Acc: 0.7414
Epoch 88/300, Train Acc: 0.7038, Test Acc: 0.7306
Epoch 89/300, Train Acc: 0.7080, Test Acc: 0.7449
Epoch 90/300, Train Acc: 0.7044, Test Acc: 0.7163
Epoch 91/300, Train Acc: 0.7056, Test Acc: 0.6925
Epoch 92/300, Train Acc: 0.7095, Test Acc: 0.7342
Epoch 93/300, Train Acc: 0.7146, Test Acc: 0.7426
Epoch 94/300, Train Acc: 0.7062, Test Acc: 0.7426
Epoch 95/300, Train Acc: 0.7116, Test Acc: 0.7402
Epoch 96/300, Train Acc: 0.7176, Test Acc: 0.7163
Epoch 97/300, Train Acc: 0.7116, Test Acc: 0.7163
Epoch 98/300, Train Acc: 0.7247, Test Acc: 0.7342
Epoch 99/300, Train Acc: 0.7107, Test Acc: 0.7259
Epoch 100/300, Train Acc: 0.7262, Test Acc: 0.7509
Epoch 101/300, Train Acc: 0.7149, Test Acc: 0.7533
Epoch 102/300, Train Acc: 0.7250, Test Acc: 0.7342
Epoch 103/300, Train Acc: 0.7220, Test Acc: 0.7259
Epoch 104/300, Train Acc: 0.7310, Test Acc: 0.7414
Epoch 105/300, Train Acc: 0.7232, Test Acc: 0.7187
Epoch 106/300, Train Acc: 0.7208, Test Acc: 0.7366
Epoch 107/300, Train Acc: 0.7214, Test Acc: 0.7390
Epoch 108/300, Train Acc: 0.7268, Test Acc: 0.7282
Epoch 109/300, Train Acc: 0.7304, Test Acc: 0.7151
Epoch 110/300, Train Acc: 0.7334, Test Acc: 0.7533
Epoch 111/300, Train Acc: 0.7381, Test Acc: 0.7569
Epoch 112/300, Train Acc: 0.7355, Test Acc: 0.7187
Epoch 113/300, Train Acc: 0.7182, Test Acc: 0.7354
Epoch 114/300, Train Acc: 0.7283, Test Acc: 0.7485
Epoch 115/300, Train Acc: 0.7378, Test Acc: 0.7449
Epoch 116/300, Train Acc: 0.7232, Test Acc: 0.7485
Epoch 117/300, Train Acc: 0.7164, Test Acc: 0.7294
Epoch 118/300, Train Acc: 0.7268, Test Acc: 0.7199
Epoch 119/300, Train Acc: 0.7256, Test Acc: 0.7414
Epoch 120/300, Train Acc: 0.7438, Test Acc: 0.7330
Epoch 121/300, Train Acc: 0.7367, Test Acc: 0.7235
Epoch 122/300, Train Acc: 0.7346, Test Acc: 0.7485
Epoch 123/300, Train Acc: 0.7390, Test Acc: 0.7366
Epoch 124/300, Train Acc: 0.7322, Test Acc: 0.7282
Epoch 125/300, Train Acc: 0.7411, Test Acc: 0.7521
Epoch 126/300, Train Acc: 0.7361, Test Acc: 0.7485
Epoch 127/300, Train Acc: 0.7244, Test Acc: 0.7569
Epoch 128/300, Train Acc: 0.7420, Test Acc: 0.7402
Epoch 129/300, Train Acc: 0.7355, Test Acc: 0.7533
Epoch 130/300, Train Acc: 0.7411, Test Acc: 0.7485
Epoch 131/300, Train Acc: 0.7358, Test Acc: 0.7521
Epoch 132/300, Train Acc: 0.7399, Test Acc: 0.7390
Epoch 133/300, Train Acc: 0.7444, Test Acc: 0.7533
Epoch 134/300, Train Acc: 0.7408, Test Acc: 0.7402
Epoch 135/300, Train Acc: 0.7537, Test Acc: 0.7414
Epoch 136/300, Train Acc: 0.7429, Test Acc: 0.7485
Epoch 137/300, Train Acc: 0.7507, Test Acc: 0.7414
Epoch 138/300, Train Acc: 0.7432, Test Acc: 0.7402
Epoch 139/300, Train Acc: 0.7331, Test Acc: 0.7378
Epoch 140/300, Train Acc: 0.7510, Test Acc: 0.7414
Epoch 141/300, Train Acc: 0.7498, Test Acc: 0.7628
Epoch 142/300, Train Acc: 0.7444, Test Acc: 0.7569
Epoch 143/300, Train Acc: 0.7441, Test Acc: 0.7473
Epoch 144/300, Train Acc: 0.7537, Test Acc: 0.7640
Epoch 145/300, Train Acc: 0.7393, Test Acc: 0.7604
Epoch 146/300, Train Acc: 0.7569, Test Acc: 0.7330
Epoch 147/300, Train Acc: 0.7528, Test Acc: 0.7473
Epoch 148/300, Train Acc: 0.7444, Test Acc: 0.7592
Epoch 149/300, Train Acc: 0.7537, Test Acc: 0.7521
Epoch 150/300, Train Acc: 0.7459, Test Acc: 0.7569
Epoch 151/300, Train Acc: 0.7617, Test Acc: 0.7414
Epoch 152/300, Train Acc: 0.7435, Test Acc: 0.7616
Epoch 153/300, Train Acc: 0.7507, Test Acc: 0.7640
Epoch 154/300, Train Acc: 0.7560, Test Acc: 0.7342
Epoch 155/300, Train Acc: 0.7569, Test Acc: 0.7354
Epoch 156/300, Train Acc: 0.7542, Test Acc: 0.7545
Epoch 157/300, Train Acc: 0.7557, Test Acc: 0.7700
Epoch 158/300, Train Acc: 0.7513, Test Acc: 0.7378
Epoch 159/300, Train Acc: 0.7483, Test Acc: 0.7688
Epoch 160/300, Train Acc: 0.7602, Test Acc: 0.7712
Epoch 161/300, Train Acc: 0.7641, Test Acc: 0.7604
Epoch 162/300, Train Acc: 0.7504, Test Acc: 0.7640
Epoch 163/300, Train Acc: 0.7653, Test Acc: 0.7473
Epoch 164/300, Train Acc: 0.7692, Test Acc: 0.7402
Epoch 165/300, Train Acc: 0.7689, Test Acc: 0.7652
Epoch 166/300, Train Acc: 0.7671, Test Acc: 0.7461
Epoch 167/300, Train Acc: 0.7692, Test Acc: 0.7282
Epoch 168/300, Train Acc: 0.7611, Test Acc: 0.7557
Epoch 169/300, Train Acc: 0.7686, Test Acc: 0.7616
Epoch 170/300, Train Acc: 0.7578, Test Acc: 0.7521
Epoch 171/300, Train Acc: 0.7569, Test Acc: 0.7449
Epoch 172/300, Train Acc: 0.7674, Test Acc: 0.7628
Epoch 173/300, Train Acc: 0.7489, Test Acc: 0.7592
Epoch 174/300, Train Acc: 0.7662, Test Acc: 0.7688
Epoch 175/300, Train Acc: 0.7757, Test Acc: 0.7449
Epoch 176/300, Train Acc: 0.7572, Test Acc: 0.7688
Epoch 177/300, Train Acc: 0.7724, Test Acc: 0.7700
Epoch 178/300, Train Acc: 0.7710, Test Acc: 0.7628
Epoch 179/300, Train Acc: 0.7730, Test Acc: 0.7771
Epoch 180/300, Train Acc: 0.7692, Test Acc: 0.7712
Epoch 181/300, Train Acc: 0.7578, Test Acc: 0.7759
Epoch 182/300, Train Acc: 0.7742, Test Acc: 0.7652
Epoch 183/300, Train Acc: 0.7710, Test Acc: 0.7557
Epoch 184/300, Train Acc: 0.7778, Test Acc: 0.7723
Epoch 185/300, Train Acc: 0.7751, Test Acc: 0.7735
Epoch 186/300, Train Acc: 0.7710, Test Acc: 0.7628
Epoch 187/300, Train Acc: 0.7683, Test Acc: 0.7795
Epoch 188/300, Train Acc: 0.7736, Test Acc: 0.7533
Epoch 189/300, Train Acc: 0.7730, Test Acc: 0.7831
Epoch 190/300, Train Acc: 0.7811, Test Acc: 0.7712
Epoch 191/300, Train Acc: 0.7742, Test Acc: 0.7557
Epoch 192/300, Train Acc: 0.7874, Test Acc: 0.7771
Epoch 193/300, Train Acc: 0.7590, Test Acc: 0.7664
Epoch 194/300, Train Acc: 0.7730, Test Acc: 0.7747
Epoch 195/300, Train Acc: 0.7659, Test Acc: 0.7473
Epoch 196/300, Train Acc: 0.7680, Test Acc: 0.7497
Epoch 197/300, Train Acc: 0.7790, Test Acc: 0.7902
Epoch 198/300, Train Acc: 0.7799, Test Acc: 0.7759
Epoch 199/300, Train Acc: 0.7739, Test Acc: 0.7831
Epoch 200/300, Train Acc: 0.7659, Test Acc: 0.7723
Epoch 201/300, Train Acc: 0.7772, Test Acc: 0.7735
Epoch 202/300, Train Acc: 0.7701, Test Acc: 0.7747
Epoch 203/300, Train Acc: 0.7736, Test Acc: 0.7723
Epoch 204/300, Train Acc: 0.7712, Test Acc: 0.7819
Epoch 205/300, Train Acc: 0.7754, Test Acc: 0.7747
Epoch 206/300, Train Acc: 0.7754, Test Acc: 0.7676
Epoch 207/300, Train Acc: 0.7778, Test Acc: 0.7676
Epoch 208/300, Train Acc: 0.7739, Test Acc: 0.7723
Epoch 209/300, Train Acc: 0.7868, Test Acc: 0.7533
Epoch 210/300, Train Acc: 0.7805, Test Acc: 0.7569
Epoch 211/300, Train Acc: 0.7823, Test Acc: 0.7759
Epoch 212/300, Train Acc: 0.7757, Test Acc: 0.7747
Epoch 213/300, Train Acc: 0.7799, Test Acc: 0.7807
Epoch 214/300, Train Acc: 0.7781, Test Acc: 0.7795
Epoch 215/300, Train Acc: 0.7859, Test Acc: 0.7676
