Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 1/300, Train Acc: 0.5229, Test Acc: 0.5643
Epoch 2/300, Train Acc: 0.5500, Test Acc: 0.5929
Epoch 3/300, Train Acc: 0.5429, Test Acc: 0.5762
Epoch 4/300, Train Acc: 0.5664, Test Acc: 0.5798
Epoch 5/300, Train Acc: 0.5807, Test Acc: 0.6000
Epoch 6/300, Train Acc: 0.5938, Test Acc: 0.6012
Epoch 7/300, Train Acc: 0.6021, Test Acc: 0.5964
Epoch 8/300, Train Acc: 0.6057, Test Acc: 0.6071
Epoch 9/300, Train Acc: 0.6170, Test Acc: 0.6179
Epoch 10/300, Train Acc: 0.6113, Test Acc: 0.6202
Epoch 11/300, Train Acc: 0.6312, Test Acc: 0.6286
Epoch 12/300, Train Acc: 0.6387, Test Acc: 0.6369
Epoch 13/300, Train Acc: 0.6324, Test Acc: 0.6369
Epoch 14/300, Train Acc: 0.6411, Test Acc: 0.6595
Epoch 15/300, Train Acc: 0.6521, Test Acc: 0.6524
Epoch 16/300, Train Acc: 0.6557, Test Acc: 0.6679
Epoch 17/300, Train Acc: 0.6676, Test Acc: 0.6762
Epoch 18/300, Train Acc: 0.6702, Test Acc: 0.6714
Epoch 19/300, Train Acc: 0.6845, Test Acc: 0.6845
Epoch 20/300, Train Acc: 0.6795, Test Acc: 0.6917
Epoch 21/300, Train Acc: 0.6940, Test Acc: 0.6976
Epoch 22/300, Train Acc: 0.6896, Test Acc: 0.6952
Epoch 23/300, Train Acc: 0.7000, Test Acc: 0.7095
Epoch 24/300, Train Acc: 0.7107, Test Acc: 0.7036
Epoch 25/300, Train Acc: 0.7098, Test Acc: 0.7107
Epoch 26/300, Train Acc: 0.7125, Test Acc: 0.7071
Epoch 27/300, Train Acc: 0.7208, Test Acc: 0.7179
Epoch 28/300, Train Acc: 0.7211, Test Acc: 0.7333
Epoch 29/300, Train Acc: 0.7244, Test Acc: 0.7274
Epoch 30/300, Train Acc: 0.7268, Test Acc: 0.7345
Epoch 31/300, Train Acc: 0.7301, Test Acc: 0.7357
Epoch 32/300, Train Acc: 0.7378, Test Acc: 0.7405
Epoch 33/300, Train Acc: 0.7354, Test Acc: 0.7393
Epoch 34/300, Train Acc: 0.7369, Test Acc: 0.7357
Epoch 35/300, Train Acc: 0.7449, Test Acc: 0.7381
Epoch 36/300, Train Acc: 0.7494, Test Acc: 0.7488
Epoch 37/300, Train Acc: 0.7527, Test Acc: 0.7500
Epoch 38/300, Train Acc: 0.7539, Test Acc: 0.7452
Epoch 39/300, Train Acc: 0.7521, Test Acc: 0.7560
Epoch 40/300, Train Acc: 0.7530, Test Acc: 0.7548
Epoch 41/300, Train Acc: 0.7637, Test Acc: 0.7619
Epoch 42/300, Train Acc: 0.7580, Test Acc: 0.7560
Epoch 43/300, Train Acc: 0.7613, Test Acc: 0.7655
Epoch 44/300, Train Acc: 0.7619, Test Acc: 0.7667
Epoch 45/300, Train Acc: 0.7637, Test Acc: 0.7679
Epoch 46/300, Train Acc: 0.7631, Test Acc: 0.7667
Epoch 47/300, Train Acc: 0.7690, Test Acc: 0.7667
Epoch 48/300, Train Acc: 0.7771, Test Acc: 0.7690
Epoch 49/300, Train Acc: 0.7795, Test Acc: 0.7679
Epoch 50/300, Train Acc: 0.7765, Test Acc: 0.7667
Epoch 51/300, Train Acc: 0.7789, Test Acc: 0.7667
Epoch 52/300, Train Acc: 0.7821, Test Acc: 0.7679
Epoch 53/300, Train Acc: 0.7899, Test Acc: 0.7690
Epoch 54/300, Train Acc: 0.7887, Test Acc: 0.7655
Epoch 55/300, Train Acc: 0.7881, Test Acc: 0.7667
Epoch 56/300, Train Acc: 0.7854, Test Acc: 0.7702
Epoch 57/300, Train Acc: 0.7911, Test Acc: 0.7702
Epoch 58/300, Train Acc: 0.7878, Test Acc: 0.7702
Epoch 59/300, Train Acc: 0.7952, Test Acc: 0.7702
