Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 1/300, Train Acc: 0.5279, Test Acc: 0.5662
Epoch 2/300, Train Acc: 0.5470, Test Acc: 0.5936
Epoch 3/300, Train Acc: 0.5753, Test Acc: 0.5971
Epoch 4/300, Train Acc: 0.5589, Test Acc: 0.5805
Epoch 5/300, Train Acc: 0.5795, Test Acc: 0.5983
Epoch 6/300, Train Acc: 0.5923, Test Acc: 0.6091
Epoch 7/300, Train Acc: 0.6036, Test Acc: 0.6162
Epoch 8/300, Train Acc: 0.6078, Test Acc: 0.6234
Epoch 9/300, Train Acc: 0.6090, Test Acc: 0.6234
Epoch 10/300, Train Acc: 0.6183, Test Acc: 0.6293
Epoch 11/300, Train Acc: 0.6281, Test Acc: 0.6317
Epoch 12/300, Train Acc: 0.6329, Test Acc: 0.6448
Epoch 13/300, Train Acc: 0.6433, Test Acc: 0.6365
Epoch 14/300, Train Acc: 0.6388, Test Acc: 0.6484
Epoch 15/300, Train Acc: 0.6523, Test Acc: 0.6496
Epoch 16/300, Train Acc: 0.6555, Test Acc: 0.6448
Epoch 17/300, Train Acc: 0.6660, Test Acc: 0.6615
Epoch 18/300, Train Acc: 0.6752, Test Acc: 0.6639
Epoch 19/300, Train Acc: 0.6695, Test Acc: 0.6841
Epoch 20/300, Train Acc: 0.6761, Test Acc: 0.6853
Epoch 21/300, Train Acc: 0.6886, Test Acc: 0.7056
Epoch 22/300, Train Acc: 0.6994, Test Acc: 0.7044
Epoch 23/300, Train Acc: 0.7006, Test Acc: 0.7139
Epoch 24/300, Train Acc: 0.6997, Test Acc: 0.7139
Epoch 25/300, Train Acc: 0.7027, Test Acc: 0.7223
Epoch 26/300, Train Acc: 0.7122, Test Acc: 0.7163
Epoch 27/300, Train Acc: 0.7182, Test Acc: 0.7306
Epoch 28/300, Train Acc: 0.7211, Test Acc: 0.7330
Epoch 29/300, Train Acc: 0.7119, Test Acc: 0.7306
Epoch 30/300, Train Acc: 0.7200, Test Acc: 0.7330
Epoch 31/300, Train Acc: 0.7316, Test Acc: 0.7390
Epoch 32/300, Train Acc: 0.7307, Test Acc: 0.7390
Epoch 33/300, Train Acc: 0.7352, Test Acc: 0.7402
Epoch 34/300, Train Acc: 0.7361, Test Acc: 0.7414
Epoch 35/300, Train Acc: 0.7364, Test Acc: 0.7461
Epoch 36/300, Train Acc: 0.7396, Test Acc: 0.7485
Epoch 37/300, Train Acc: 0.7420, Test Acc: 0.7521
Epoch 38/300, Train Acc: 0.7542, Test Acc: 0.7521
Epoch 39/300, Train Acc: 0.7534, Test Acc: 0.7509
Epoch 40/300, Train Acc: 0.7590, Test Acc: 0.7485
Epoch 41/300, Train Acc: 0.7581, Test Acc: 0.7545
Epoch 42/300, Train Acc: 0.7590, Test Acc: 0.7533
Epoch 43/300, Train Acc: 0.7650, Test Acc: 0.7509
Epoch 44/300, Train Acc: 0.7650, Test Acc: 0.7545
