Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 1/300, Train Acc: 0.5131, Test Acc: 0.5119
Epoch 2/300, Train Acc: 0.5122, Test Acc: 0.5726
Epoch 3/300, Train Acc: 0.5202, Test Acc: 0.5452
Epoch 4/300, Train Acc: 0.5378, Test Acc: 0.5321
Epoch 5/300, Train Acc: 0.5455, Test Acc: 0.5512
Epoch 6/300, Train Acc: 0.5423, Test Acc: 0.5595
Epoch 7/300, Train Acc: 0.5574, Test Acc: 0.5738
Epoch 8/300, Train Acc: 0.5610, Test Acc: 0.5738
Epoch 9/300, Train Acc: 0.5765, Test Acc: 0.5750
Epoch 10/300, Train Acc: 0.5676, Test Acc: 0.5655
Epoch 11/300, Train Acc: 0.5753, Test Acc: 0.5905
Epoch 12/300, Train Acc: 0.5935, Test Acc: 0.5976
Epoch 13/300, Train Acc: 0.6012, Test Acc: 0.5929
Epoch 14/300, Train Acc: 0.6015, Test Acc: 0.6024
Epoch 15/300, Train Acc: 0.6155, Test Acc: 0.5560
Epoch 16/300, Train Acc: 0.6089, Test Acc: 0.5881
Epoch 17/300, Train Acc: 0.6161, Test Acc: 0.5964
Epoch 18/300, Train Acc: 0.6327, Test Acc: 0.5988
Epoch 19/300, Train Acc: 0.6226, Test Acc: 0.6119
Epoch 20/300, Train Acc: 0.6315, Test Acc: 0.5583
Epoch 21/300, Train Acc: 0.6238, Test Acc: 0.6155
Epoch 22/300, Train Acc: 0.6366, Test Acc: 0.6286
Epoch 23/300, Train Acc: 0.6339, Test Acc: 0.6238
Epoch 24/300, Train Acc: 0.6443, Test Acc: 0.6238
Epoch 25/300, Train Acc: 0.6545, Test Acc: 0.6262
Epoch 26/300, Train Acc: 0.6417, Test Acc: 0.6214
Epoch 27/300, Train Acc: 0.6420, Test Acc: 0.6262
Epoch 28/300, Train Acc: 0.6497, Test Acc: 0.6060
Epoch 29/300, Train Acc: 0.6586, Test Acc: 0.6476
Epoch 30/300, Train Acc: 0.6521, Test Acc: 0.6429
Epoch 31/300, Train Acc: 0.6562, Test Acc: 0.6464
