Processing...
Done!
Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 1/300, Train Acc: 0.5037, Test Acc: 0.5411
Epoch 2/300, Train Acc: 0.5082, Test Acc: 0.5364
Epoch 3/300, Train Acc: 0.5180, Test Acc: 0.5042
Epoch 4/300, Train Acc: 0.5365, Test Acc: 0.5066
Epoch 5/300, Train Acc: 0.5261, Test Acc: 0.5066
Epoch 6/300, Train Acc: 0.5336, Test Acc: 0.5375
Epoch 7/300, Train Acc: 0.5413, Test Acc: 0.5733
Epoch 8/300, Train Acc: 0.5461, Test Acc: 0.5375
Epoch 9/300, Train Acc: 0.5664, Test Acc: 0.5602
Epoch 10/300, Train Acc: 0.5768, Test Acc: 0.5364
Epoch 11/300, Train Acc: 0.5693, Test Acc: 0.5769
Epoch 12/300, Train Acc: 0.5798, Test Acc: 0.6031
Epoch 13/300, Train Acc: 0.5953, Test Acc: 0.5542
Epoch 14/300, Train Acc: 0.5857, Test Acc: 0.5685
Epoch 15/300, Train Acc: 0.5950, Test Acc: 0.5864
Epoch 16/300, Train Acc: 0.6018, Test Acc: 0.6412
Epoch 17/300, Train Acc: 0.5992, Test Acc: 0.6400
Epoch 18/300, Train Acc: 0.6081, Test Acc: 0.5769
Epoch 19/300, Train Acc: 0.6096, Test Acc: 0.6389
Epoch 20/300, Train Acc: 0.6132, Test Acc: 0.6293
Epoch 21/300, Train Acc: 0.6212, Test Acc: 0.6019
Epoch 22/300, Train Acc: 0.6141, Test Acc: 0.6627
Epoch 23/300, Train Acc: 0.6356, Test Acc: 0.6472
Epoch 24/300, Train Acc: 0.6293, Test Acc: 0.6544
Epoch 25/300, Train Acc: 0.6317, Test Acc: 0.6400
Epoch 26/300, Train Acc: 0.6323, Test Acc: 0.6472
Epoch 27/300, Train Acc: 0.6430, Test Acc: 0.6389
Epoch 28/300, Train Acc: 0.6367, Test Acc: 0.6567
Epoch 29/300, Train Acc: 0.6373, Test Acc: 0.6675
Epoch 30/300, Train Acc: 0.6424, Test Acc: 0.6627
Epoch 31/300, Train Acc: 0.6546, Test Acc: 0.6722
Epoch 32/300, Train Acc: 0.6415, Test Acc: 0.6591
Epoch 33/300, Train Acc: 0.6537, Test Acc: 0.6615
Epoch 34/300, Train Acc: 0.6525, Test Acc: 0.6746
Epoch 35/300, Train Acc: 0.6579, Test Acc: 0.6770
Epoch 36/300, Train Acc: 0.6588, Test Acc: 0.6687
Epoch 37/300, Train Acc: 0.6612, Test Acc: 0.6544
Epoch 38/300, Train Acc: 0.6737, Test Acc: 0.6770
Epoch 39/300, Train Acc: 0.6725, Test Acc: 0.6996
Epoch 40/300, Train Acc: 0.6815, Test Acc: 0.6746
Epoch 41/300, Train Acc: 0.6687, Test Acc: 0.6889
Epoch 42/300, Train Acc: 0.6746, Test Acc: 0.6818
Epoch 43/300, Train Acc: 0.6690, Test Acc: 0.6973
Epoch 44/300, Train Acc: 0.6830, Test Acc: 0.6925
Epoch 45/300, Train Acc: 0.6815, Test Acc: 0.6830
Epoch 46/300, Train Acc: 0.6880, Test Acc: 0.7032
