Class distribution: Counter({0: 2108, 1: 2092})

🌀 Fold 0 -----------------------------
Epoch 000: Train Acc = 0.5009, Val Loss = 0.6937
Epoch 010: Train Acc = 0.5747, Val Loss = 0.6790
Epoch 020: Train Acc = 0.5943, Val Loss = 0.6565
Epoch 030: Train Acc = 0.6318, Val Loss = 0.6459
Epoch 040: Train Acc = 0.6482, Val Loss = 0.6456
Epoch 050: Train Acc = 0.6670, Val Loss = 0.6246
Epoch 060: Train Acc = 0.6842, Val Loss = 0.6141
Epoch 070: Train Acc = 0.6899, Val Loss = 0.6017
Epoch 080: Train Acc = 0.7116, Val Loss = 0.5959
Epoch 090: Train Acc = 0.7247, Val Loss = 0.5756
Epoch 100: Train Acc = 0.7259, Val Loss = 0.5810
Epoch 110: Train Acc = 0.7265, Val Loss = 0.5898
Epoch 120: Train Acc = 0.7357, Val Loss = 0.5777
Epoch 130: Train Acc = 0.7545, Val Loss = 0.5669
Epoch 140: Train Acc = 0.7503, Val Loss = 0.5655
Epoch 150: Train Acc = 0.7607, Val Loss = 0.5669
Epoch 160: Train Acc = 0.7688, Val Loss = 0.5530
Epoch 170: Train Acc = 0.7649, Val Loss = 0.5472
Epoch 180: Train Acc = 0.7664, Val Loss = 0.5605
Epoch 190: Train Acc = 0.7676, Val Loss = 0.5300
Epoch 200: Train Acc = 0.7887, Val Loss = 0.5339
Epoch 210: Train Acc = 0.7830, Val Loss = 0.5447
⏹️ Early stopping triggered.
✅ Fold 0 - Accuracy: 0.7619, Precision: 0.7564, Recall: 0.7709, F1: 0.7636
Fold time: 210.76s

🌀 Fold 1 -----------------------------
Epoch 000: Train Acc = 0.5107, Val Loss = 0.6936
Epoch 010: Train Acc = 0.5670, Val Loss = 0.6817
Epoch 020: Train Acc = 0.5804, Val Loss = 0.6836
Epoch 030: Train Acc = 0.6238, Val Loss = 0.6392
Epoch 040: Train Acc = 0.6461, Val Loss = 0.6341
Epoch 050: Train Acc = 0.6524, Val Loss = 0.6257
Epoch 060: Train Acc = 0.6640, Val Loss = 0.6189
Epoch 070: Train Acc = 0.6711, Val Loss = 0.6102
Epoch 080: Train Acc = 0.6884, Val Loss = 0.5767
Epoch 090: Train Acc = 0.6976, Val Loss = 0.6011
Epoch 100: Train Acc = 0.7024, Val Loss = 0.5745
Epoch 110: Train Acc = 0.7220, Val Loss = 0.5410
Epoch 120: Train Acc = 0.7220, Val Loss = 0.5425
Epoch 130: Train Acc = 0.7289, Val Loss = 0.5373
Epoch 140: Train Acc = 0.7315, Val Loss = 0.5206
Epoch 150: Train Acc = 0.7494, Val Loss = 0.5028
Epoch 160: Train Acc = 0.7574, Val Loss = 0.5114
Epoch 170: Train Acc = 0.7536, Val Loss = 0.4991
Epoch 180: Train Acc = 0.7625, Val Loss = 0.5010
Epoch 190: Train Acc = 0.7682, Val Loss = 0.5177
Epoch 200: Train Acc = 0.7753, Val Loss = 0.4753
Epoch 210: Train Acc = 0.7762, Val Loss = 0.4792
Epoch 220: Train Acc = 0.7789, Val Loss = 0.4842
Epoch 230: Train Acc = 0.7631, Val Loss = 0.5144
Epoch 240: Train Acc = 0.7905, Val Loss = 0.4954
Epoch 250: Train Acc = 0.7958, Val Loss = 0.4759
Epoch 260: Train Acc = 0.7881, Val Loss = 0.4756
Epoch 270: Train Acc = 0.7890, Val Loss = 0.4974
Epoch 280: Train Acc = 0.7896, Val Loss = 0.4602
Epoch 290: Train Acc = 0.8024, Val Loss = 0.4580
✅ Fold 1 - Accuracy: 0.8095, Precision: 0.8120, Recall: 0.8043, F1: 0.8082
Fold time: 299.13s

🌀 Fold 2 -----------------------------
Epoch 000: Train Acc = 0.4946, Val Loss = 0.6939
Epoch 010: Train Acc = 0.5795, Val Loss = 0.6702
Epoch 020: Train Acc = 0.6173, Val Loss = 0.6502
Epoch 030: Train Acc = 0.6351, Val Loss = 0.6449
Epoch 040: Train Acc = 0.6577, Val Loss = 0.6514
Epoch 050: Train Acc = 0.6732, Val Loss = 0.6184
Epoch 060: Train Acc = 0.6973, Val Loss = 0.6005
Epoch 070: Train Acc = 0.7054, Val Loss = 0.5945
Epoch 080: Train Acc = 0.7179, Val Loss = 0.5809
Epoch 090: Train Acc = 0.7235, Val Loss = 0.5767
Epoch 100: Train Acc = 0.7256, Val Loss = 0.5624
Epoch 110: Train Acc = 0.7310, Val Loss = 0.5749
Epoch 120: Train Acc = 0.7375, Val Loss = 0.5510
Epoch 130: Train Acc = 0.7423, Val Loss = 0.5521
Epoch 140: Train Acc = 0.7527, Val Loss = 0.5422
Epoch 150: Train Acc = 0.7542, Val Loss = 0.5493
Epoch 160: Train Acc = 0.7652, Val Loss = 0.5747
Epoch 170: Train Acc = 0.7690, Val Loss = 0.5684
Epoch 180: Train Acc = 0.7795, Val Loss = 0.5307
Epoch 190: Train Acc = 0.7777, Val Loss = 0.5221
Epoch 200: Train Acc = 0.7893, Val Loss = 0.5188
Epoch 210: Train Acc = 0.7821, Val Loss = 0.5362
Epoch 220: Train Acc = 0.7908, Val Loss = 0.5199
Epoch 230: Train Acc = 0.7854, Val Loss = 0.5325
Epoch 240: Train Acc = 0.7982, Val Loss = 0.5336
Epoch 250: Train Acc = 0.7982, Val Loss = 0.5326
Epoch 260: Train Acc = 0.7884, Val Loss = 0.5083
Epoch 270: Train Acc = 0.8074, Val Loss = 0.5005
Epoch 280: Train Acc = 0.8039, Val Loss = 0.4933
