Processing...
Done!
Epoch 1/300, Train RMSE: 1.2650, Test RMSE: 1.1847
Epoch 2/300, Train RMSE: 1.1834, Test RMSE: 1.1580
Epoch 3/300, Train RMSE: 1.1706, Test RMSE: 1.1474
Epoch 4/300, Train RMSE: 1.1756, Test RMSE: 1.1486
Epoch 5/300, Train RMSE: 1.1415, Test RMSE: 1.1160
Epoch 6/300, Train RMSE: 1.1419, Test RMSE: 1.1159
Epoch 7/300, Train RMSE: 1.1127, Test RMSE: 1.1052
Epoch 8/300, Train RMSE: 1.0893, Test RMSE: 1.0956
Epoch 9/300, Train RMSE: 1.0570, Test RMSE: 1.0921
Epoch 10/300, Train RMSE: 1.0457, Test RMSE: 1.1272
Epoch 11/300, Train RMSE: 0.9979, Test RMSE: 0.9835
Epoch 12/300, Train RMSE: 0.9793, Test RMSE: 0.9751
Epoch 13/300, Train RMSE: 0.9512, Test RMSE: 0.9749
Epoch 14/300, Train RMSE: 0.9172, Test RMSE: 0.9430
Epoch 15/300, Train RMSE: 0.8931, Test RMSE: 0.8472
Epoch 16/300, Train RMSE: 0.8640, Test RMSE: 0.8679
Epoch 17/300, Train RMSE: 0.8573, Test RMSE: 0.8294
Epoch 18/300, Train RMSE: 0.8400, Test RMSE: 0.8137
Epoch 19/300, Train RMSE: 0.8240, Test RMSE: 0.8584
Epoch 20/300, Train RMSE: 0.8146, Test RMSE: 0.7974
Epoch 21/300, Train RMSE: 0.8186, Test RMSE: 0.8166
Epoch 22/300, Train RMSE: 0.7863, Test RMSE: 0.7894
Epoch 23/300, Train RMSE: 0.7788, Test RMSE: 0.7734
Epoch 24/300, Train RMSE: 0.7690, Test RMSE: 0.7557
Epoch 25/300, Train RMSE: 0.7701, Test RMSE: 0.7535
Epoch 26/300, Train RMSE: 0.7604, Test RMSE: 0.7559
Epoch 27/300, Train RMSE: 0.7465, Test RMSE: 0.7338
Epoch 28/300, Train RMSE: 0.7238, Test RMSE: 0.7531
Epoch 29/300, Train RMSE: 0.7298, Test RMSE: 0.7236
Epoch 30/300, Train RMSE: 0.7165, Test RMSE: 0.7357
Epoch 31/300, Train RMSE: 0.7162, Test RMSE: 0.7140
Epoch 32/300, Train RMSE: 0.6983, Test RMSE: 0.7225
Epoch 33/300, Train RMSE: 0.7074, Test RMSE: 0.7106
Epoch 34/300, Train RMSE: 0.6925, Test RMSE: 0.7272
Epoch 35/300, Train RMSE: 0.6917, Test RMSE: 0.7030
Epoch 36/300, Train RMSE: 0.6841, Test RMSE: 0.7940
Epoch 37/300, Train RMSE: 0.6796, Test RMSE: 0.7283
Epoch 38/300, Train RMSE: 0.6936, Test RMSE: 0.7041
Epoch 39/300, Train RMSE: 0.6726, Test RMSE: 0.6758
Epoch 40/300, Train RMSE: 0.6748, Test RMSE: 0.6674
Epoch 41/300, Train RMSE: 0.6431, Test RMSE: 0.6871
Epoch 42/300, Train RMSE: 0.6616, Test RMSE: 0.6632
Epoch 43/300, Train RMSE: 0.6444, Test RMSE: 0.6680
Epoch 44/300, Train RMSE: 0.6366, Test RMSE: 0.6843
Epoch 45/300, Train RMSE: 0.6381, Test RMSE: 0.6988
Epoch 46/300, Train RMSE: 0.6370, Test RMSE: 0.6640
Epoch 47/300, Train RMSE: 0.6312, Test RMSE: 0.6467
