Processing...
Done!
Epoch 1/300, Train RMSE: 1.2209, Test RMSE: 1.2025
Epoch 2/300, Train RMSE: 1.1867, Test RMSE: 1.2289
Epoch 3/300, Train RMSE: 1.1574, Test RMSE: 1.1705
Epoch 4/300, Train RMSE: 1.1435, Test RMSE: 1.1652
Epoch 5/300, Train RMSE: 1.1259, Test RMSE: 1.1472
Epoch 6/300, Train RMSE: 1.1148, Test RMSE: 1.1096
Epoch 7/300, Train RMSE: 1.0900, Test RMSE: 1.0669
Epoch 8/300, Train RMSE: 1.0655, Test RMSE: 1.0305
Epoch 9/300, Train RMSE: 1.0391, Test RMSE: 0.9871
Epoch 10/300, Train RMSE: 1.0265, Test RMSE: 0.9642
Epoch 11/300, Train RMSE: 0.9817, Test RMSE: 0.8898
Epoch 12/300, Train RMSE: 0.9548, Test RMSE: 0.9546
Epoch 13/300, Train RMSE: 0.9355, Test RMSE: 0.8484
Epoch 14/300, Train RMSE: 0.9135, Test RMSE: 0.8258
Epoch 15/300, Train RMSE: 0.8859, Test RMSE: 0.8326
Epoch 16/300, Train RMSE: 0.8585, Test RMSE: 0.8324
Epoch 17/300, Train RMSE: 0.8539, Test RMSE: 0.8386
Epoch 18/300, Train RMSE: 0.8547, Test RMSE: 0.7574
Epoch 19/300, Train RMSE: 0.8207, Test RMSE: 0.7311
Epoch 20/300, Train RMSE: 0.8170, Test RMSE: 0.7745
Epoch 21/300, Train RMSE: 0.8048, Test RMSE: 0.7417
Epoch 22/300, Train RMSE: 0.7989, Test RMSE: 0.7385
Epoch 23/300, Train RMSE: 0.7840, Test RMSE: 0.7026
Epoch 24/300, Train RMSE: 0.7739, Test RMSE: 0.6925
Epoch 25/300, Train RMSE: 0.7674, Test RMSE: 0.7219
Epoch 26/300, Train RMSE: 0.7647, Test RMSE: 0.6860
Epoch 27/300, Train RMSE: 0.7539, Test RMSE: 0.6742
Epoch 28/300, Train RMSE: 0.7461, Test RMSE: 0.7210
Epoch 29/300, Train RMSE: 0.7412, Test RMSE: 0.6711
Epoch 30/300, Train RMSE: 0.7266, Test RMSE: 0.6668
Epoch 31/300, Train RMSE: 0.7358, Test RMSE: 0.7013
Epoch 32/300, Train RMSE: 0.7384, Test RMSE: 0.6543
Epoch 33/300, Train RMSE: 0.7283, Test RMSE: 0.6531
Epoch 34/300, Train RMSE: 0.7208, Test RMSE: 0.6733
Epoch 35/300, Train RMSE: 0.7091, Test RMSE: 0.6480
Epoch 36/300, Train RMSE: 0.6916, Test RMSE: 0.6510
Epoch 37/300, Train RMSE: 0.7139, Test RMSE: 0.6523
Epoch 38/300, Train RMSE: 0.6942, Test RMSE: 0.6613
Epoch 39/300, Train RMSE: 0.6821, Test RMSE: 0.6361
Epoch 40/300, Train RMSE: 0.6842, Test RMSE: 0.6429
Epoch 41/300, Train RMSE: 0.6698, Test RMSE: 0.6761
Epoch 42/300, Train RMSE: 0.6645, Test RMSE: 0.6204
Epoch 43/300, Train RMSE: 0.6745, Test RMSE: 0.6094
Epoch 44/300, Train RMSE: 0.6590, Test RMSE: 0.6219
Epoch 45/300, Train RMSE: 0.6498, Test RMSE: 0.6220
Epoch 46/300, Train RMSE: 0.6496, Test RMSE: 0.6610
Epoch 47/300, Train RMSE: 0.6418, Test RMSE: 0.6506
Epoch 48/300, Train RMSE: 0.6451, Test RMSE: 0.6084
Epoch 49/300, Train RMSE: 0.6251, Test RMSE: 0.6110
Epoch 50/300, Train RMSE: 0.6347, Test RMSE: 0.6349
Epoch 51/300, Train RMSE: 0.6259, Test RMSE: 0.6173
Epoch 52/300, Train RMSE: 0.6233, Test RMSE: 0.6503
Epoch 53/300, Train RMSE: 0.6196, Test RMSE: 0.6071
