Processing...
Done!
Epoch 1/300, Train RMSE: 1.2952, Test RMSE: 1.2152
Epoch 2/300, Train RMSE: 1.2141, Test RMSE: 1.2048
Epoch 3/300, Train RMSE: 1.1893, Test RMSE: 1.2096
Epoch 4/300, Train RMSE: 1.1892, Test RMSE: 1.2025
Epoch 5/300, Train RMSE: 1.1891, Test RMSE: 1.1812
Epoch 6/300, Train RMSE: 1.1841, Test RMSE: 1.1814
Epoch 7/300, Train RMSE: 1.1737, Test RMSE: 1.1754
Epoch 8/300, Train RMSE: 1.1854, Test RMSE: 1.1728
Epoch 9/300, Train RMSE: 1.1722, Test RMSE: 1.2254
Epoch 10/300, Train RMSE: 1.1761, Test RMSE: 1.1775
Epoch 11/300, Train RMSE: 1.1654, Test RMSE: 1.1707
Epoch 12/300, Train RMSE: 1.1512, Test RMSE: 1.1858
Epoch 13/300, Train RMSE: 1.1546, Test RMSE: 1.1687
Epoch 14/300, Train RMSE: 1.1395, Test RMSE: 1.1506
Epoch 15/300, Train RMSE: 1.1311, Test RMSE: 1.1507
Epoch 16/300, Train RMSE: 1.1292, Test RMSE: 1.1437
Epoch 17/300, Train RMSE: 1.1204, Test RMSE: 1.1401
Epoch 18/300, Train RMSE: 1.1190, Test RMSE: 1.1649
Epoch 19/300, Train RMSE: 1.1122, Test RMSE: 1.1264
Epoch 20/300, Train RMSE: 1.1058, Test RMSE: 1.1121
Epoch 21/300, Train RMSE: 1.1111, Test RMSE: 1.1193
Epoch 22/300, Train RMSE: 1.0980, Test RMSE: 1.1083
Epoch 23/300, Train RMSE: 1.1048, Test RMSE: 1.1042
Epoch 24/300, Train RMSE: 1.0949, Test RMSE: 1.1225
Epoch 25/300, Train RMSE: 1.0996, Test RMSE: 1.1046
Epoch 26/300, Train RMSE: 1.0920, Test RMSE: 1.1118
Epoch 27/300, Train RMSE: 1.0916, Test RMSE: 1.0980
Epoch 28/300, Train RMSE: 1.1016, Test RMSE: 1.0936
Epoch 29/300, Train RMSE: 1.0768, Test RMSE: 1.1053
Epoch 30/300, Train RMSE: 1.0824, Test RMSE: 1.0846
Epoch 31/300, Train RMSE: 1.0725, Test RMSE: 1.1629
Epoch 32/300, Train RMSE: 1.0751, Test RMSE: 1.1070
Epoch 33/300, Train RMSE: 1.0620, Test RMSE: 1.0787
Epoch 34/300, Train RMSE: 1.0618, Test RMSE: 1.0905
Epoch 35/300, Train RMSE: 1.0726, Test RMSE: 1.0846
Epoch 36/300, Train RMSE: 1.0576, Test RMSE: 1.1134
Epoch 37/300, Train RMSE: 1.0577, Test RMSE: 1.0935
Epoch 38/300, Train RMSE: 1.0580, Test RMSE: 1.1116
Epoch 39/300, Train RMSE: 1.0617, Test RMSE: 1.0633
Epoch 40/300, Train RMSE: 1.0593, Test RMSE: 1.0617
Epoch 41/300, Train RMSE: 1.0525, Test RMSE: 1.0598
Epoch 42/300, Train RMSE: 1.0502, Test RMSE: 1.0529
Epoch 43/300, Train RMSE: 1.0448, Test RMSE: 1.1683
Epoch 44/300, Train RMSE: 1.0539, Test RMSE: 1.0799
Epoch 45/300, Train RMSE: 1.0460, Test RMSE: 1.2507
Epoch 46/300, Train RMSE: 1.0564, Test RMSE: 1.0669
Epoch 47/300, Train RMSE: 1.0466, Test RMSE: 1.0467
Epoch 48/300, Train RMSE: 1.0286, Test RMSE: 1.0596
Epoch 49/300, Train RMSE: 1.0510, Test RMSE: 1.0460
Epoch 50/300, Train RMSE: 1.0409, Test RMSE: 1.0665
Epoch 51/300, Train RMSE: 1.0324, Test RMSE: 1.0408
Epoch 52/300, Train RMSE: 1.0283, Test RMSE: 1.1023
Epoch 53/300, Train RMSE: 1.0261, Test RMSE: 1.0462
Epoch 54/300, Train RMSE: 1.0326, Test RMSE: 1.0847
Epoch 55/300, Train RMSE: 1.0193, Test RMSE: 1.0331
Epoch 56/300, Train RMSE: 1.0033, Test RMSE: 1.0486
Epoch 57/300, Train RMSE: 1.0269, Test RMSE: 1.0424
Epoch 58/300, Train RMSE: 1.0133, Test RMSE: 1.0322
Epoch 59/300, Train RMSE: 1.0143, Test RMSE: 1.0259
Epoch 60/300, Train RMSE: 1.0245, Test RMSE: 1.0219
Epoch 61/300, Train RMSE: 1.0105, Test RMSE: 1.0233
Epoch 62/300, Train RMSE: 1.0057, Test RMSE: 1.0519
Epoch 63/300, Train RMSE: 1.0102, Test RMSE: 1.0433
Epoch 64/300, Train RMSE: 1.0055, Test RMSE: 1.0409
Epoch 65/300, Train RMSE: 1.0030, Test RMSE: 1.0328
Epoch 66/300, Train RMSE: 0.9957, Test RMSE: 1.0154
Epoch 67/300, Train RMSE: 0.9921, Test RMSE: 1.0193
Epoch 68/300, Train RMSE: 0.9945, Test RMSE: 1.0195
Epoch 69/300, Train RMSE: 0.9961, Test RMSE: 1.0014
Epoch 70/300, Train RMSE: 0.9941, Test RMSE: 1.0119
Epoch 71/300, Train RMSE: 0.9919, Test RMSE: 1.0091
Epoch 72/300, Train RMSE: 0.9751, Test RMSE: 1.0036
Epoch 73/300, Train RMSE: 0.9866, Test RMSE: 0.9953
Epoch 74/300, Train RMSE: 0.9829, Test RMSE: 0.9901
Epoch 75/300, Train RMSE: 0.9772, Test RMSE: 1.0352
Epoch 76/300, Train RMSE: 0.9870, Test RMSE: 0.9799
Epoch 77/300, Train RMSE: 0.9658, Test RMSE: 1.0560
Epoch 78/300, Train RMSE: 0.9847, Test RMSE: 1.0372
Epoch 79/300, Train RMSE: 0.9649, Test RMSE: 1.0125
Epoch 80/300, Train RMSE: 0.9778, Test RMSE: 0.9994
Epoch 81/300, Train RMSE: 0.9625, Test RMSE: 1.0066
Epoch 82/300, Train RMSE: 0.9615, Test RMSE: 0.9734
Epoch 83/300, Train RMSE: 0.9619, Test RMSE: 0.9708
Epoch 84/300, Train RMSE: 0.9537, Test RMSE: 0.9515
Epoch 85/300, Train RMSE: 0.9571, Test RMSE: 0.9782
Epoch 86/300, Train RMSE: 0.9670, Test RMSE: 0.9787
Epoch 87/300, Train RMSE: 0.9584, Test RMSE: 0.9690
Epoch 88/300, Train RMSE: 0.9660, Test RMSE: 0.9793
Epoch 89/300, Train RMSE: 0.9594, Test RMSE: 0.9830
Epoch 90/300, Train RMSE: 0.9548, Test RMSE: 0.9816
Epoch 91/300, Train RMSE: 0.9433, Test RMSE: 0.9871
Epoch 92/300, Train RMSE: 0.9437, Test RMSE: 0.9577
Epoch 93/300, Train RMSE: 0.9491, Test RMSE: 0.9316
Epoch 94/300, Train RMSE: 0.9487, Test RMSE: 0.9828
Epoch 95/300, Train RMSE: 0.9532, Test RMSE: 0.9741
Epoch 96/300, Train RMSE: 0.9463, Test RMSE: 0.9958
Epoch 97/300, Train RMSE: 0.9372, Test RMSE: 0.9418
Epoch 98/300, Train RMSE: 0.9343, Test RMSE: 0.9404
Epoch 99/300, Train RMSE: 0.9256, Test RMSE: 0.9448
Epoch 100/300, Train RMSE: 0.9369, Test RMSE: 0.9552
Epoch 101/300, Train RMSE: 0.9243, Test RMSE: 0.9576
Epoch 102/300, Train RMSE: 0.9326, Test RMSE: 0.9294
Epoch 103/300, Train RMSE: 0.9324, Test RMSE: 0.9498
Epoch 104/300, Train RMSE: 0.9177, Test RMSE: 0.9280
Epoch 105/300, Train RMSE: 0.9350, Test RMSE: 0.9337
Epoch 106/300, Train RMSE: 0.9184, Test RMSE: 0.9097
Epoch 107/300, Train RMSE: 0.9118, Test RMSE: 0.9836
Epoch 108/300, Train RMSE: 0.9248, Test RMSE: 0.9541
Epoch 109/300, Train RMSE: 0.9132, Test RMSE: 0.9351
Epoch 110/300, Train RMSE: 0.9179, Test RMSE: 0.9259
Epoch 111/300, Train RMSE: 0.9176, Test RMSE: 0.9300
Epoch 112/300, Train RMSE: 0.9191, Test RMSE: 0.9705
Epoch 113/300, Train RMSE: 0.9214, Test RMSE: 0.9123
Epoch 114/300, Train RMSE: 0.9065, Test RMSE: 0.9601
Epoch 115/300, Train RMSE: 0.9060, Test RMSE: 0.9153
Epoch 116/300, Train RMSE: 0.9140, Test RMSE: 0.9540
Epoch 117/300, Train RMSE: 0.8989, Test RMSE: 0.8950
Epoch 118/300, Train RMSE: 0.9331, Test RMSE: 0.9188
Epoch 119/300, Train RMSE: 0.9083, Test RMSE: 0.9062
Epoch 120/300, Train RMSE: 0.8982, Test RMSE: 0.8985
Epoch 121/300, Train RMSE: 0.9012, Test RMSE: 0.9008
Epoch 122/300, Train RMSE: 0.8861, Test RMSE: 0.9227
Epoch 123/300, Train RMSE: 0.9084, Test RMSE: 0.9031
Epoch 124/300, Train RMSE: 0.8859, Test RMSE: 0.8787
Epoch 125/300, Train RMSE: 0.8875, Test RMSE: 0.8762
Epoch 126/300, Train RMSE: 0.8750, Test RMSE: 0.9221
Epoch 127/300, Train RMSE: 0.8977, Test RMSE: 0.9231
Epoch 128/300, Train RMSE: 0.8845, Test RMSE: 0.9113
Epoch 129/300, Train RMSE: 0.8968, Test RMSE: 0.8761
Epoch 130/300, Train RMSE: 0.8834, Test RMSE: 0.9067
Epoch 131/300, Train RMSE: 0.8828, Test RMSE: 0.9084
Epoch 132/300, Train RMSE: 0.8821, Test RMSE: 0.9421
Epoch 133/300, Train RMSE: 0.8864, Test RMSE: 0.8836
Epoch 134/300, Train RMSE: 0.8752, Test RMSE: 0.8965
Epoch 135/300, Train RMSE: 0.8608, Test RMSE: 0.8597
Epoch 136/300, Train RMSE: 0.8742, Test RMSE: 0.9077
Epoch 137/300, Train RMSE: 0.8626, Test RMSE: 0.8709
Epoch 138/300, Train RMSE: 0.8810, Test RMSE: 0.9489
Epoch 139/300, Train RMSE: 0.8877, Test RMSE: 0.8876
Epoch 140/300, Train RMSE: 0.8717, Test RMSE: 0.9076
Epoch 141/300, Train RMSE: 0.8639, Test RMSE: 0.9376
Epoch 142/300, Train RMSE: 0.8743, Test RMSE: 0.8663
Epoch 143/300, Train RMSE: 0.8840, Test RMSE: 0.9113
Epoch 144/300, Train RMSE: 0.8582, Test RMSE: 0.8709
Epoch 145/300, Train RMSE: 0.8600, Test RMSE: 0.8529
Epoch 146/300, Train RMSE: 0.8657, Test RMSE: 0.8558
Epoch 147/300, Train RMSE: 0.8638, Test RMSE: 0.8961
Epoch 148/300, Train RMSE: 0.8625, Test RMSE: 0.8590
Epoch 149/300, Train RMSE: 0.8468, Test RMSE: 0.8874
Epoch 150/300, Train RMSE: 0.8543, Test RMSE: 0.8645
Epoch 151/300, Train RMSE: 0.8609, Test RMSE: 0.8831
Epoch 152/300, Train RMSE: 0.8523, Test RMSE: 0.9949
Epoch 153/300, Train RMSE: 0.8450, Test RMSE: 0.8581
Epoch 154/300, Train RMSE: 0.8514, Test RMSE: 0.9103
Epoch 155/300, Train RMSE: 0.8495, Test RMSE: 0.8798
Epoch 156/300, Train RMSE: 0.8484, Test RMSE: 0.8512
Epoch 157/300, Train RMSE: 0.8460, Test RMSE: 0.8320/home/agbande-remote/sandeep/logP_final_regress/gcn/full_42K_data/gcn_final.py:206: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load('models/best_model.pth'))

Epoch 158/300, Train RMSE: 0.8340, Test RMSE: 0.8393
Epoch 159/300, Train RMSE: 0.8554, Test RMSE: 0.8508
Epoch 160/300, Train RMSE: 0.8408, Test RMSE: 0.8873
Epoch 161/300, Train RMSE: 0.8328, Test RMSE: 0.9444
Epoch 162/300, Train RMSE: 0.8469, Test RMSE: 0.8717
Epoch 163/300, Train RMSE: 0.8440, Test RMSE: 0.8413
Epoch 164/300, Train RMSE: 0.8353, Test RMSE: 0.8188
Epoch 165/300, Train RMSE: 0.8424, Test RMSE: 0.8731
Epoch 166/300, Train RMSE: 0.8373, Test RMSE: 0.8622
Epoch 167/300, Train RMSE: 0.8511, Test RMSE: 0.9125
Epoch 168/300, Train RMSE: 0.8520, Test RMSE: 0.9133
