Processing...
Done!
Epoch 1/300, Train RMSE: 1.2797, Test RMSE: 1.2484
Epoch 2/300, Train RMSE: 1.2039, Test RMSE: 1.2448
Epoch 3/300, Train RMSE: 1.1910, Test RMSE: 1.2319
Epoch 4/300, Train RMSE: 1.1944, Test RMSE: 1.2927
Epoch 5/300, Train RMSE: 1.1808, Test RMSE: 1.2212
Epoch 6/300, Train RMSE: 1.1698, Test RMSE: 1.2260
Epoch 7/300, Train RMSE: 1.1739, Test RMSE: 1.2217
Epoch 8/300, Train RMSE: 1.1648, Test RMSE: 1.2289
Epoch 9/300, Train RMSE: 1.1791, Test RMSE: 1.2276
Epoch 10/300, Train RMSE: 1.1689, Test RMSE: 1.2113
Epoch 11/300, Train RMSE: 1.1665, Test RMSE: 1.2095
Epoch 12/300, Train RMSE: 1.1597, Test RMSE: 1.2113
Epoch 13/300, Train RMSE: 1.1528, Test RMSE: 1.1806
Epoch 14/300, Train RMSE: 1.1478, Test RMSE: 1.1730
Epoch 15/300, Train RMSE: 1.1357, Test RMSE: 1.2151
Epoch 16/300, Train RMSE: 1.1228, Test RMSE: 1.1534
Epoch 17/300, Train RMSE: 1.1371, Test RMSE: 1.1927
Epoch 18/300, Train RMSE: 1.1205, Test RMSE: 1.1399
Epoch 19/300, Train RMSE: 1.1101, Test RMSE: 1.1636
Epoch 20/300, Train RMSE: 1.1181, Test RMSE: 1.1643
Epoch 21/300, Train RMSE: 1.1015, Test RMSE: 1.1330
Epoch 22/300, Train RMSE: 1.1083, Test RMSE: 1.1441
Epoch 23/300, Train RMSE: 1.1042, Test RMSE: 1.1234
Epoch 24/300, Train RMSE: 1.0886, Test RMSE: 1.1339
Epoch 25/300, Train RMSE: 1.1001, Test RMSE: 1.1174
Epoch 26/300, Train RMSE: 1.1019, Test RMSE: 1.1200
Epoch 27/300, Train RMSE: 1.0894, Test RMSE: 1.1105
Epoch 28/300, Train RMSE: 1.0829, Test RMSE: 1.1254
Epoch 29/300, Train RMSE: 1.0890, Test RMSE: 1.1095
Epoch 30/300, Train RMSE: 1.0832, Test RMSE: 1.1256
Epoch 31/300, Train RMSE: 1.0846, Test RMSE: 1.1030
Epoch 32/300, Train RMSE: 1.0807, Test RMSE: 1.1386
Epoch 33/300, Train RMSE: 1.0834, Test RMSE: 1.0943
Epoch 34/300, Train RMSE: 1.0729, Test RMSE: 1.2107
Epoch 35/300, Train RMSE: 1.0876, Test RMSE: 1.0972
Epoch 36/300, Train RMSE: 1.0754, Test RMSE: 1.1002
Epoch 37/300, Train RMSE: 1.0691, Test RMSE: 1.0771
Epoch 38/300, Train RMSE: 1.0757, Test RMSE: 1.0835
Epoch 39/300, Train RMSE: 1.0674, Test RMSE: 1.0897
Epoch 40/300, Train RMSE: 1.0740, Test RMSE: 1.0620
Epoch 41/300, Train RMSE: 1.0709, Test RMSE: 1.0744
Epoch 42/300, Train RMSE: 1.0607, Test RMSE: 1.0584
Epoch 43/300, Train RMSE: 1.0666, Test RMSE: 1.0693
Epoch 44/300, Train RMSE: 1.0562, Test RMSE: 1.0532
Epoch 45/300, Train RMSE: 1.0458, Test RMSE: 1.0532
