Processing...
Done!
Epoch 1/300, Train RMSE: 2.4159, Test RMSE: 2.3469
Epoch 2/300, Train RMSE: 2.2584, Test RMSE: 2.1879
Epoch 3/300, Train RMSE: 2.0872, Test RMSE: 1.9998
Epoch 4/300, Train RMSE: 1.8909, Test RMSE: 1.7869
Epoch 5/300, Train RMSE: 1.6908, Test RMSE: 1.5841
Epoch 6/300, Train RMSE: 1.5059, Test RMSE: 1.4250
Epoch 7/300, Train RMSE: 1.3576, Test RMSE: 1.3030
Epoch 8/300, Train RMSE: 1.2623, Test RMSE: 1.2286
Epoch 9/300, Train RMSE: 1.2094, Test RMSE: 1.1827
Epoch 10/300, Train RMSE: 1.1760, Test RMSE: 1.1649
Epoch 11/300, Train RMSE: 1.1727, Test RMSE: 1.1496
Epoch 12/300, Train RMSE: 1.1474, Test RMSE: 1.1408
Epoch 13/300, Train RMSE: 1.1467, Test RMSE: 1.1329
Epoch 14/300, Train RMSE: 1.1384, Test RMSE: 1.1258
Epoch 15/300, Train RMSE: 1.1351, Test RMSE: 1.1190
Epoch 16/300, Train RMSE: 1.1245, Test RMSE: 1.1128
Epoch 17/300, Train RMSE: 1.1191, Test RMSE: 1.1085
Epoch 18/300, Train RMSE: 1.1172, Test RMSE: 1.1028
Epoch 19/300, Train RMSE: 1.1071, Test RMSE: 1.0994
Epoch 20/300, Train RMSE: 1.1039, Test RMSE: 1.0949
Epoch 21/300, Train RMSE: 1.1049, Test RMSE: 1.0917
Epoch 22/300, Train RMSE: 1.0943, Test RMSE: 1.0894
Epoch 23/300, Train RMSE: 1.0969, Test RMSE: 1.0830
Epoch 24/300, Train RMSE: 1.0887, Test RMSE: 1.0810
Epoch 25/300, Train RMSE: 1.0767, Test RMSE: 1.0769
Epoch 26/300, Train RMSE: 1.0846, Test RMSE: 1.0730
Epoch 27/300, Train RMSE: 1.0809, Test RMSE: 1.0704
Epoch 28/300, Train RMSE: 1.0814, Test RMSE: 1.0677
Epoch 29/300, Train RMSE: 1.0733, Test RMSE: 1.0664
Epoch 30/300, Train RMSE: 1.0726, Test RMSE: 1.0622
Epoch 31/300, Train RMSE: 1.0650, Test RMSE: 1.0591
Epoch 32/300, Train RMSE: 1.0591, Test RMSE: 1.0593
Epoch 33/300, Train RMSE: 1.0611, Test RMSE: 1.0553
Epoch 34/300, Train RMSE: 1.0582, Test RMSE: 1.0508
Epoch 35/300, Train RMSE: 1.0553, Test RMSE: 1.0482
Epoch 36/300, Train RMSE: 1.0506, Test RMSE: 1.0456
Epoch 37/300, Train RMSE: 1.0445, Test RMSE: 1.0420
Epoch 38/300, Train RMSE: 1.0535, Test RMSE: 1.0452
Epoch 39/300, Train RMSE: 1.0427, Test RMSE: 1.0401
Epoch 40/300, Train RMSE: 1.0448, Test RMSE: 1.0367
Epoch 41/300, Train RMSE: 1.0339, Test RMSE: 1.0326
Epoch 42/300, Train RMSE: 1.0315, Test RMSE: 1.0300
Epoch 43/300, Train RMSE: 1.0354, Test RMSE: 1.0286
Epoch 44/300, Train RMSE: 1.0371, Test RMSE: 1.0264
Epoch 45/300, Train RMSE: 1.0274, Test RMSE: 1.0214
Epoch 46/300, Train RMSE: 1.0293, Test RMSE: 1.0233
Epoch 47/300, Train RMSE: 1.0221, Test RMSE: 1.0204
Epoch 48/300, Train RMSE: 1.0115, Test RMSE: 1.0145
Epoch 49/300, Train RMSE: 1.0220, Test RMSE: 1.0114
Epoch 50/300, Train RMSE: 1.0101, Test RMSE: 1.0090
Epoch 51/300, Train RMSE: 1.0111, Test RMSE: 1.0084
Epoch 52/300, Train RMSE: 1.0007, Test RMSE: 1.0041
Epoch 53/300, Train RMSE: 0.9999, Test RMSE: 1.0021
Epoch 54/300, Train RMSE: 1.0026, Test RMSE: 0.9991
Epoch 55/300, Train RMSE: 0.9989, Test RMSE: 0.9949
Epoch 56/300, Train RMSE: 0.9924, Test RMSE: 0.9975
Epoch 57/300, Train RMSE: 0.9917, Test RMSE: 0.9930
Epoch 58/300, Train RMSE: 0.9893, Test RMSE: 0.9842
Epoch 59/300, Train RMSE: 0.9829, Test RMSE: 0.9812
Epoch 60/300, Train RMSE: 0.9782, Test RMSE: 0.9758
Epoch 61/300, Train RMSE: 0.9787, Test RMSE: 0.9766
Epoch 62/300, Train RMSE: 0.9785, Test RMSE: 0.9714
Epoch 63/300, Train RMSE: 0.9668, Test RMSE: 0.9640
Epoch 64/300, Train RMSE: 0.9617, Test RMSE: 0.9631
Epoch 65/300, Train RMSE: 0.9529, Test RMSE: 0.9573
Epoch 66/300, Train RMSE: 0.9542, Test RMSE: 0.9568
Epoch 67/300, Train RMSE: 0.9475, Test RMSE: 0.9497
Epoch 68/300, Train RMSE: 0.9403, Test RMSE: 0.9442
Epoch 69/300, Train RMSE: 0.9366, Test RMSE: 0.9469
Epoch 70/300, Train RMSE: 0.9276, Test RMSE: 0.9371
Epoch 71/300, Train RMSE: 0.9341, Test RMSE: 0.9337
Epoch 72/300, Train RMSE: 0.9235, Test RMSE: 0.9271
Epoch 73/300, Train RMSE: 0.9193, Test RMSE: 0.9263
Epoch 74/300, Train RMSE: 0.9211, Test RMSE: 0.9192
Epoch 75/300, Train RMSE: 0.9154, Test RMSE: 0.9162
Epoch 76/300, Train RMSE: 0.9029, Test RMSE: 0.9143
Epoch 77/300, Train RMSE: 0.8997, Test RMSE: 0.9059
Epoch 78/300, Train RMSE: 0.9028, Test RMSE: 0.9023
Epoch 79/300, Train RMSE: 0.8892, Test RMSE: 0.9022
Epoch 80/300, Train RMSE: 0.8952, Test RMSE: 0.8973
Epoch 81/300, Train RMSE: 0.8750, Test RMSE: 0.8982
Epoch 82/300, Train RMSE: 0.8802, Test RMSE: 0.9100
Epoch 83/300, Train RMSE: 0.8697, Test RMSE: 0.8831
Epoch 84/300, Train RMSE: 0.8747, Test RMSE: 0.8859
Epoch 85/300, Train RMSE: 0.8707, Test RMSE: 0.8780
Epoch 86/300, Train RMSE: 0.8695, Test RMSE: 0.8762
Epoch 87/300, Train RMSE: 0.8593, Test RMSE: 0.8811
Epoch 88/300, Train RMSE: 0.8565, Test RMSE: 0.8657
Epoch 89/300, Train RMSE: 0.8546, Test RMSE: 0.8665
Epoch 90/300, Train RMSE: 0.8502, Test RMSE: 0.8631
Epoch 91/300, Train RMSE: 0.8512, Test RMSE: 0.8569
Epoch 92/300, Train RMSE: 0.8447, Test RMSE: 0.8606
Epoch 93/300, Train RMSE: 0.8368, Test RMSE: 0.8501
Epoch 94/300, Train RMSE: 0.8345, Test RMSE: 0.8526
Epoch 95/300, Train RMSE: 0.8324, Test RMSE: 0.8579
Epoch 96/300, Train RMSE: 0.8383, Test RMSE: 0.8564
Epoch 97/300, Train RMSE: 0.8273, Test RMSE: 0.8446
Epoch 98/300, Train RMSE: 0.8163, Test RMSE: 0.8458
Epoch 99/300, Train RMSE: 0.8133, Test RMSE: 0.8430
Epoch 100/300, Train RMSE: 0.8109, Test RMSE: 0.8328
Epoch 101/300, Train RMSE: 0.8114, Test RMSE: 0.8282
Epoch 102/300, Train RMSE: 0.7979, Test RMSE: 0.8226
Epoch 103/300, Train RMSE: 0.8048, Test RMSE: 0.8299
Epoch 104/300, Train RMSE: 0.8091, Test RMSE: 0.8207
Epoch 105/300, Train RMSE: 0.8026, Test RMSE: 0.8220
Epoch 106/300, Train RMSE: 0.8015, Test RMSE: 0.8134
Epoch 107/300, Train RMSE: 0.7965, Test RMSE: 0.8191
Epoch 108/300, Train RMSE: 0.7975, Test RMSE: 0.8139
Epoch 109/300, Train RMSE: 0.7930, Test RMSE: 0.8107
Epoch 110/300, Train RMSE: 0.7836, Test RMSE: 0.8068
Epoch 111/300, Train RMSE: 0.7735, Test RMSE: 0.8092
Epoch 112/300, Train RMSE: 0.7762, Test RMSE: 0.8080
Epoch 113/300, Train RMSE: 0.7777, Test RMSE: 0.8018
Epoch 114/300, Train RMSE: 0.7695, Test RMSE: 0.8080
Epoch 115/300, Train RMSE: 0.7809, Test RMSE: 0.8032
Epoch 116/300, Train RMSE: 0.7750, Test RMSE: 0.7951
Epoch 117/300, Train RMSE: 0.7615, Test RMSE: 0.7955
Epoch 118/300, Train RMSE: 0.7657, Test RMSE: 0.7889
Epoch 119/300, Train RMSE: 0.7591, Test RMSE: 0.7914
Epoch 120/300, Train RMSE: 0.7590, Test RMSE: 0.7890
Epoch 121/300, Train RMSE: 0.7539, Test RMSE: 0.7886
Epoch 122/300, Train RMSE: 0.7554, Test RMSE: 0.7984
Epoch 123/300, Train RMSE: 0.7542, Test RMSE: 0.7824
Epoch 124/300, Train RMSE: 0.7547, Test RMSE: 0.7906
Epoch 125/300, Train RMSE: 0.7545, Test RMSE: 0.7887
Epoch 126/300, Train RMSE: 0.7497, Test RMSE: 0.7794
Epoch 127/300, Train RMSE: 0.7613, Test RMSE: 0.7692
Epoch 128/300, Train RMSE: 0.7423, Test RMSE: 0.7702
Epoch 129/300, Train RMSE: 0.7430, Test RMSE: 0.7772
Epoch 130/300, Train RMSE: 0.7386, Test RMSE: 0.7679
Epoch 131/300, Train RMSE: 0.7371, Test RMSE: 0.7661
Epoch 132/300, Train RMSE: 0.7303, Test RMSE: 0.7657
Epoch 133/300, Train RMSE: 0.7371, Test RMSE: 0.7815
Epoch 134/300, Train RMSE: 0.7311, Test RMSE: 0.7665
Epoch 135/300, Train RMSE: 0.7275, Test RMSE: 0.7686
Epoch 136/300, Train RMSE: 0.7216, Test RMSE: 0.7562
Epoch 137/300, Train RMSE: 0.7289, Test RMSE: 0.7837
Epoch 138/300, Train RMSE: 0.7195, Test RMSE: 0.7584
Epoch 139/300, Train RMSE: 0.7340, Test RMSE: 0.7587
Epoch 140/300, Train RMSE: 0.7249, Test RMSE: 0.7592
Epoch 141/300, Train RMSE: 0.7240, Test RMSE: 0.7525
Epoch 142/300, Train RMSE: 0.7244, Test RMSE: 0.7548
Epoch 143/300, Train RMSE: 0.7114, Test RMSE: 0.7530
Epoch 144/300, Train RMSE: 0.7159, Test RMSE: 0.7483
Epoch 145/300, Train RMSE: 0.7145, Test RMSE: 0.7609
Epoch 146/300, Train RMSE: 0.7167, Test RMSE: 0.7459
Epoch 147/300, Train RMSE: 0.7067, Test RMSE: 0.7494
Epoch 148/300, Train RMSE: 0.7021, Test RMSE: 0.7427
Epoch 149/300, Train RMSE: 0.7098, Test RMSE: 0.7469
Epoch 150/300, Train RMSE: 0.6988, Test RMSE: 0.7512
Epoch 151/300, Train RMSE: 0.7041, Test RMSE: 0.7439
Epoch 152/300, Train RMSE: 0.7148, Test RMSE: 0.7455
Epoch 153/300, Train RMSE: 0.6967, Test RMSE: 0.7426
Epoch 154/300, Train RMSE: 0.7040, Test RMSE: 0.7511
Epoch 155/300, Train RMSE: 0.6952, Test RMSE: 0.7390
Epoch 156/300, Train RMSE: 0.6961, Test RMSE: 0.7462
Epoch 157/300, Train RMSE: 0.7019, Test RMSE: 0.7486/home/agbande-remote/sandeep/logP_final_regress/gin/full_42K_data/gin_final.py:206: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load('models/best_model.pth'))

Epoch 158/300, Train RMSE: 0.6863, Test RMSE: 0.7293
Epoch 159/300, Train RMSE: 0.6888, Test RMSE: 0.7355
Epoch 160/300, Train RMSE: 0.6821, Test RMSE: 0.7333
Epoch 161/300, Train RMSE: 0.6793, Test RMSE: 0.7382
Epoch 162/300, Train RMSE: 0.6885, Test RMSE: 0.7408
Epoch 163/300, Train RMSE: 0.6880, Test RMSE: 0.7317
Epoch 164/300, Train RMSE: 0.6912, Test RMSE: 0.7300
Epoch 165/300, Train RMSE: 0.6777, Test RMSE: 0.7315
Epoch 166/300, Train RMSE: 0.6890, Test RMSE: 0.7370
Epoch 167/300, Train RMSE: 0.6791, Test RMSE: 0.7297
Epoch 168/300, Train RMSE: 0.6718, Test RMSE: 0.7277
Epoch 169/300, Train RMSE: 0.6838, Test RMSE: 0.7414
Epoch 170/300, Train RMSE: 0.6763, Test RMSE: 0.7258
Epoch 171/300, Train RMSE: 0.6702, Test RMSE: 0.7356
Epoch 172/300, Train RMSE: 0.6750, Test RMSE: 0.7205
Epoch 173/300, Train RMSE: 0.6688, Test RMSE: 0.7220
Epoch 174/300, Train RMSE: 0.6646, Test RMSE: 0.7298
Epoch 175/300, Train RMSE: 0.6752, Test RMSE: 0.7185
Epoch 176/300, Train RMSE: 0.6748, Test RMSE: 0.7215
Epoch 177/300, Train RMSE: 0.6601, Test RMSE: 0.7418
Epoch 178/300, Train RMSE: 0.6656, Test RMSE: 0.7134
Epoch 179/300, Train RMSE: 0.6599, Test RMSE: 0.7330
Epoch 180/300, Train RMSE: 0.6740, Test RMSE: 0.7130
Epoch 181/300, Train RMSE: 0.6689, Test RMSE: 0.7453
Epoch 182/300, Train RMSE: 0.6700, Test RMSE: 0.7240
Epoch 183/300, Train RMSE: 0.6630, Test RMSE: 0.7116
Epoch 184/300, Train RMSE: 0.6717, Test RMSE: 0.7156
Epoch 185/300, Train RMSE: 0.6595, Test RMSE: 0.7177
Epoch 186/300, Train RMSE: 0.6588, Test RMSE: 0.7167
Epoch 187/300, Train RMSE: 0.6565, Test RMSE: 0.7186
Epoch 188/300, Train RMSE: 0.6502, Test RMSE: 0.7409
Epoch 189/300, Train RMSE: 0.6649, Test RMSE: 0.7159
Epoch 190/300, Train RMSE: 0.6529, Test RMSE: 0.7100
Epoch 191/300, Train RMSE: 0.6510, Test RMSE: 0.7057
Epoch 192/300, Train RMSE: 0.6471, Test RMSE: 0.7097
Epoch 193/300, Train RMSE: 0.6605, Test RMSE: 0.7118
Epoch 194/300, Train RMSE: 0.6507, Test RMSE: 0.7229
Epoch 195/300, Train RMSE: 0.6461, Test RMSE: 0.7152
Epoch 196/300, Train RMSE: 0.6465, Test RMSE: 0.7022
Epoch 197/300, Train RMSE: 0.6516, Test RMSE: 0.7054
Epoch 198/300, Train RMSE: 0.6494, Test RMSE: 0.7032
