Processing...
Done!
Epoch 1/300, Train RMSE: 2.4208, Test RMSE: 2.3096
Epoch 2/300, Train RMSE: 2.2609, Test RMSE: 2.1476
Epoch 3/300, Train RMSE: 2.0918, Test RMSE: 1.9700
Epoch 4/300, Train RMSE: 1.8996, Test RMSE: 1.7767
Epoch 5/300, Train RMSE: 1.6929, Test RMSE: 1.5793
Epoch 6/300, Train RMSE: 1.5015, Test RMSE: 1.4208
Epoch 7/300, Train RMSE: 1.3539, Test RMSE: 1.3034
Epoch 8/300, Train RMSE: 1.2546, Test RMSE: 1.2322
Epoch 9/300, Train RMSE: 1.1984, Test RMSE: 1.2028
Epoch 10/300, Train RMSE: 1.1692, Test RMSE: 1.1872
Epoch 11/300, Train RMSE: 1.1565, Test RMSE: 1.1750
Epoch 12/300, Train RMSE: 1.1496, Test RMSE: 1.1659
Epoch 13/300, Train RMSE: 1.1345, Test RMSE: 1.1569
Epoch 14/300, Train RMSE: 1.1299, Test RMSE: 1.1492
Epoch 15/300, Train RMSE: 1.1279, Test RMSE: 1.1411
Epoch 16/300, Train RMSE: 1.1122, Test RMSE: 1.1350
Epoch 17/300, Train RMSE: 1.1006, Test RMSE: 1.1299
Epoch 18/300, Train RMSE: 1.1015, Test RMSE: 1.1242
Epoch 19/300, Train RMSE: 1.1047, Test RMSE: 1.1191
Epoch 20/300, Train RMSE: 1.0987, Test RMSE: 1.1125
Epoch 21/300, Train RMSE: 1.0947, Test RMSE: 1.1092
Epoch 22/300, Train RMSE: 1.0882, Test RMSE: 1.1049
Epoch 23/300, Train RMSE: 1.0847, Test RMSE: 1.1020
Epoch 24/300, Train RMSE: 1.0825, Test RMSE: 1.0971
Epoch 25/300, Train RMSE: 1.0750, Test RMSE: 1.0961
Epoch 26/300, Train RMSE: 1.0781, Test RMSE: 1.0920
Epoch 27/300, Train RMSE: 1.0717, Test RMSE: 1.0891
Epoch 28/300, Train RMSE: 1.0694, Test RMSE: 1.0842
Epoch 29/300, Train RMSE: 1.0711, Test RMSE: 1.0845
Epoch 30/300, Train RMSE: 1.0633, Test RMSE: 1.0797
Epoch 31/300, Train RMSE: 1.0637, Test RMSE: 1.0785
Epoch 32/300, Train RMSE: 1.0630, Test RMSE: 1.0748
Epoch 33/300, Train RMSE: 1.0557, Test RMSE: 1.0767
Epoch 34/300, Train RMSE: 1.0552, Test RMSE: 1.0699
Epoch 35/300, Train RMSE: 1.0484, Test RMSE: 1.0686
Epoch 36/300, Train RMSE: 1.0478, Test RMSE: 1.0641
Epoch 37/300, Train RMSE: 1.0393, Test RMSE: 1.0608
Epoch 38/300, Train RMSE: 1.0418, Test RMSE: 1.0583
Epoch 39/300, Train RMSE: 1.0538, Test RMSE: 1.0548
Epoch 40/300, Train RMSE: 1.0324, Test RMSE: 1.0541
Epoch 41/300, Train RMSE: 1.0375, Test RMSE: 1.0518
Epoch 42/300, Train RMSE: 1.0364, Test RMSE: 1.0510
Epoch 43/300, Train RMSE: 1.0266, Test RMSE: 1.0471
Epoch 44/300, Train RMSE: 1.0270, Test RMSE: 1.0451
Epoch 45/300, Train RMSE: 1.0234, Test RMSE: 1.0444
