Processing...
Done!
Epoch 1/300, Train RMSE: 1.2581, Test RMSE: 1.2100
Epoch 2/300, Train RMSE: 1.1991, Test RMSE: 1.1918
Epoch 3/300, Train RMSE: 1.1924, Test RMSE: 1.1874
Epoch 4/300, Train RMSE: 1.1966, Test RMSE: 1.1873
Epoch 5/300, Train RMSE: 1.1881, Test RMSE: 1.1986
Epoch 6/300, Train RMSE: 1.1831, Test RMSE: 1.1899
Epoch 7/300, Train RMSE: 1.1795, Test RMSE: 1.1901
Epoch 8/300, Train RMSE: 1.1765, Test RMSE: 1.1769
Epoch 9/300, Train RMSE: 1.1729, Test RMSE: 1.1882
Epoch 10/300, Train RMSE: 1.1742, Test RMSE: 1.1838
Epoch 11/300, Train RMSE: 1.1705, Test RMSE: 1.1778
Epoch 12/300, Train RMSE: 1.1640, Test RMSE: 1.1743
Epoch 13/300, Train RMSE: 1.1560, Test RMSE: 1.1558
Epoch 14/300, Train RMSE: 1.1458, Test RMSE: 1.1557
Epoch 15/300, Train RMSE: 1.1438, Test RMSE: 1.2197
Epoch 16/300, Train RMSE: 1.1304, Test RMSE: 1.1433
Epoch 17/300, Train RMSE: 1.1377, Test RMSE: 1.1396
Epoch 18/300, Train RMSE: 1.1155, Test RMSE: 1.1706
Epoch 19/300, Train RMSE: 1.1125, Test RMSE: 1.1381
Epoch 20/300, Train RMSE: 1.1025, Test RMSE: 1.1311
Epoch 21/300, Train RMSE: 1.1027, Test RMSE: 1.1341
Epoch 22/300, Train RMSE: 1.0887, Test RMSE: 1.1312
Epoch 23/300, Train RMSE: 1.0958, Test RMSE: 1.1259
Epoch 24/300, Train RMSE: 1.0873, Test RMSE: 1.1156
Epoch 25/300, Train RMSE: 1.0864, Test RMSE: 1.1123
Epoch 26/300, Train RMSE: 1.0906, Test RMSE: 1.1482
Epoch 27/300, Train RMSE: 1.0785, Test RMSE: 1.1025
Epoch 28/300, Train RMSE: 1.0764, Test RMSE: 1.1001
Epoch 29/300, Train RMSE: 1.0553, Test RMSE: 1.0935
Epoch 30/300, Train RMSE: 1.0650, Test RMSE: 1.1085
Epoch 31/300, Train RMSE: 1.0754, Test RMSE: 1.1053
Epoch 32/300, Train RMSE: 1.0585, Test RMSE: 1.1095
Epoch 33/300, Train RMSE: 1.0595, Test RMSE: 1.0905
Epoch 34/300, Train RMSE: 1.0516, Test RMSE: 1.0891
Epoch 35/300, Train RMSE: 1.0394, Test RMSE: 1.0733
Epoch 36/300, Train RMSE: 1.0382, Test RMSE: 1.1412
Epoch 37/300, Train RMSE: 1.0679, Test RMSE: 1.0710
Epoch 38/300, Train RMSE: 1.0462, Test RMSE: 1.0692
Epoch 39/300, Train RMSE: 1.0390, Test RMSE: 1.0679
Epoch 40/300, Train RMSE: 1.0344, Test RMSE: 1.0614
Epoch 41/300, Train RMSE: 1.0285, Test RMSE: 1.0562
Epoch 42/300, Train RMSE: 1.0251, Test RMSE: 1.0628
Epoch 43/300, Train RMSE: 1.0227, Test RMSE: 1.0550
Epoch 44/300, Train RMSE: 1.0296, Test RMSE: 1.0456
Epoch 45/300, Train RMSE: 1.0116, Test RMSE: 1.0833
Epoch 46/300, Train RMSE: 1.0256, Test RMSE: 1.0621
Epoch 47/300, Train RMSE: 1.0074, Test RMSE: 1.0340
Epoch 48/300, Train RMSE: 1.0114, Test RMSE: 1.0279
Epoch 49/300, Train RMSE: 1.0080, Test RMSE: 1.0506
Epoch 50/300, Train RMSE: 0.9958, Test RMSE: 1.0270
Epoch 51/300, Train RMSE: 1.0034, Test RMSE: 1.0188
Epoch 52/300, Train RMSE: 0.9873, Test RMSE: 1.0085
Epoch 53/300, Train RMSE: 0.9958, Test RMSE: 1.0082
Epoch 54/300, Train RMSE: 0.9978, Test RMSE: 1.0261
Epoch 55/300, Train RMSE: 0.9701, Test RMSE: 0.9947
Epoch 56/300, Train RMSE: 0.9695, Test RMSE: 0.9923
Epoch 57/300, Train RMSE: 0.9775, Test RMSE: 0.9880
Epoch 58/300, Train RMSE: 0.9634, Test RMSE: 0.9844
Epoch 59/300, Train RMSE: 0.9482, Test RMSE: 0.9748
Epoch 60/300, Train RMSE: 0.9569, Test RMSE: 0.9779
Epoch 61/300, Train RMSE: 0.9539, Test RMSE: 0.9723
Epoch 62/300, Train RMSE: 0.9488, Test RMSE: 0.9609
Epoch 63/300, Train RMSE: 0.9465, Test RMSE: 0.9563
Epoch 64/300, Train RMSE: 0.9524, Test RMSE: 0.9616
Epoch 65/300, Train RMSE: 0.9285, Test RMSE: 0.9469
Epoch 66/300, Train RMSE: 0.9294, Test RMSE: 0.9526
Epoch 67/300, Train RMSE: 0.9236, Test RMSE: 0.9341
Epoch 68/300, Train RMSE: 0.9192, Test RMSE: 0.9361
Epoch 69/300, Train RMSE: 0.9117, Test RMSE: 0.9480
Epoch 70/300, Train RMSE: 0.9137, Test RMSE: 0.9336
Epoch 71/300, Train RMSE: 0.9148, Test RMSE: 0.9331
Epoch 72/300, Train RMSE: 0.9102, Test RMSE: 0.9346
Epoch 73/300, Train RMSE: 0.9056, Test RMSE: 0.9162
Epoch 74/300, Train RMSE: 0.9142, Test RMSE: 0.9560
Epoch 75/300, Train RMSE: 0.9051, Test RMSE: 0.9195
Epoch 76/300, Train RMSE: 0.8805, Test RMSE: 0.9057
Epoch 77/300, Train RMSE: 0.8818, Test RMSE: 0.9382
Epoch 78/300, Train RMSE: 0.8918, Test RMSE: 0.9113
Epoch 79/300, Train RMSE: 0.8764, Test RMSE: 0.9021
Epoch 80/300, Train RMSE: 0.8894, Test RMSE: 0.9287
Epoch 81/300, Train RMSE: 0.8688, Test RMSE: 0.9066
Epoch 82/300, Train RMSE: 0.8688, Test RMSE: 0.8867
Epoch 83/300, Train RMSE: 0.8689, Test RMSE: 0.9219
Epoch 84/300, Train RMSE: 0.8686, Test RMSE: 0.8859
Epoch 85/300, Train RMSE: 0.8605, Test RMSE: 0.8874
Epoch 86/300, Train RMSE: 0.8622, Test RMSE: 0.8888
Epoch 87/300, Train RMSE: 0.8432, Test RMSE: 0.8799
Epoch 88/300, Train RMSE: 0.8711, Test RMSE: 0.8817
Epoch 89/300, Train RMSE: 0.8676, Test RMSE: 0.8999
Epoch 90/300, Train RMSE: 0.8490, Test RMSE: 0.8698
Epoch 91/300, Train RMSE: 0.8442, Test RMSE: 0.8871
Epoch 92/300, Train RMSE: 0.8338, Test RMSE: 0.8823
Epoch 93/300, Train RMSE: 0.8460, Test RMSE: 0.8686
Epoch 94/300, Train RMSE: 0.8328, Test RMSE: 0.8886
Epoch 95/300, Train RMSE: 0.8337, Test RMSE: 0.8823
Epoch 96/300, Train RMSE: 0.8459, Test RMSE: 0.8716
Epoch 97/300, Train RMSE: 0.8291, Test RMSE: 0.8831
Epoch 98/300, Train RMSE: 0.8377, Test RMSE: 0.8697
Epoch 99/300, Train RMSE: 0.8454, Test RMSE: 0.8767
Epoch 100/300, Train RMSE: 0.8257, Test RMSE: 0.8749
