Processing...
Done!
Epoch 1/300, Train RMSE: 1.2738, Test RMSE: 1.2376
Epoch 2/300, Train RMSE: 1.1977, Test RMSE: 1.2484
Epoch 3/300, Train RMSE: 1.1861, Test RMSE: 1.2218
Epoch 4/300, Train RMSE: 1.1843, Test RMSE: 1.2352
Epoch 5/300, Train RMSE: 1.1737, Test RMSE: 1.2300
Epoch 6/300, Train RMSE: 1.1756, Test RMSE: 1.2105
Epoch 7/300, Train RMSE: 1.1682, Test RMSE: 1.2192
Epoch 8/300, Train RMSE: 1.1695, Test RMSE: 1.2183
Epoch 9/300, Train RMSE: 1.1643, Test RMSE: 1.2043
Epoch 10/300, Train RMSE: 1.1652, Test RMSE: 1.1996
Epoch 11/300, Train RMSE: 1.1606, Test RMSE: 1.2202
Epoch 12/300, Train RMSE: 1.1509, Test RMSE: 1.2066
Epoch 13/300, Train RMSE: 1.1444, Test RMSE: 1.2000
Epoch 14/300, Train RMSE: 1.1536, Test RMSE: 1.1973
Epoch 15/300, Train RMSE: 1.1379, Test RMSE: 1.1735
Epoch 16/300, Train RMSE: 1.1352, Test RMSE: 1.1924
Epoch 17/300, Train RMSE: 1.1357, Test RMSE: 1.1683
Epoch 18/300, Train RMSE: 1.1290, Test RMSE: 1.1485
Epoch 19/300, Train RMSE: 1.1194, Test RMSE: 1.1445
Epoch 20/300, Train RMSE: 1.1200, Test RMSE: 1.1346
Epoch 21/300, Train RMSE: 1.1118, Test RMSE: 1.1559
Epoch 22/300, Train RMSE: 1.1115, Test RMSE: 1.1380
Epoch 23/300, Train RMSE: 1.1055, Test RMSE: 1.1158
Epoch 24/300, Train RMSE: 1.1023, Test RMSE: 1.1084
Epoch 25/300, Train RMSE: 1.0905, Test RMSE: 1.1186
Epoch 26/300, Train RMSE: 1.0905, Test RMSE: 1.1073
Epoch 27/300, Train RMSE: 1.0805, Test RMSE: 1.0943
Epoch 28/300, Train RMSE: 1.0977, Test RMSE: 1.1149
Epoch 29/300, Train RMSE: 1.0856, Test RMSE: 1.0940
Epoch 30/300, Train RMSE: 1.0851, Test RMSE: 1.0917
Epoch 31/300, Train RMSE: 1.0727, Test RMSE: 1.0720
Epoch 32/300, Train RMSE: 1.0845, Test RMSE: 1.0792
Epoch 33/300, Train RMSE: 1.0622, Test RMSE: 1.0822
Epoch 34/300, Train RMSE: 1.0700, Test RMSE: 1.0643
Epoch 35/300, Train RMSE: 1.0730, Test RMSE: 1.1079
Epoch 36/300, Train RMSE: 1.0632, Test RMSE: 1.0677
Epoch 37/300, Train RMSE: 1.0664, Test RMSE: 1.0924
Epoch 38/300, Train RMSE: 1.0493, Test RMSE: 1.0751
Epoch 39/300, Train RMSE: 1.0553, Test RMSE: 1.0598
Epoch 40/300, Train RMSE: 1.0527, Test RMSE: 1.0411
Epoch 41/300, Train RMSE: 1.0405, Test RMSE: 1.0491
Epoch 42/300, Train RMSE: 1.0419, Test RMSE: 1.0641
Epoch 43/300, Train RMSE: 1.0395, Test RMSE: 1.0299
Epoch 44/300, Train RMSE: 1.0479, Test RMSE: 1.0427
Epoch 45/300, Train RMSE: 1.0337, Test RMSE: 1.0449
Epoch 46/300, Train RMSE: 1.0352, Test RMSE: 1.0357
Epoch 47/300, Train RMSE: 1.0348, Test RMSE: 1.0445
Epoch 48/300, Train RMSE: 1.0289, Test RMSE: 1.0197
Epoch 49/300, Train RMSE: 1.0241, Test RMSE: 1.0339
Epoch 50/300, Train RMSE: 1.0283, Test RMSE: 1.0808
Epoch 51/300, Train RMSE: 1.0337, Test RMSE: 1.0120
Epoch 52/300, Train RMSE: 1.0191, Test RMSE: 1.0073
Epoch 53/300, Train RMSE: 1.0231, Test RMSE: 1.0024
Epoch 54/300, Train RMSE: 1.0144, Test RMSE: 1.0057
Epoch 55/300, Train RMSE: 1.0057, Test RMSE: 1.0495
Epoch 56/300, Train RMSE: 1.0032, Test RMSE: 1.0104
Epoch 57/300, Train RMSE: 1.0082, Test RMSE: 0.9991
Epoch 58/300, Train RMSE: 0.9958, Test RMSE: 0.9926
Epoch 59/300, Train RMSE: 0.9987, Test RMSE: 0.9965
Epoch 60/300, Train RMSE: 1.0038, Test RMSE: 0.9949
Epoch 61/300, Train RMSE: 1.0122, Test RMSE: 0.9711
Epoch 62/300, Train RMSE: 0.9921, Test RMSE: 1.0087
Epoch 63/300, Train RMSE: 0.9923, Test RMSE: 0.9909
Epoch 64/300, Train RMSE: 0.9758, Test RMSE: 0.9485
Epoch 65/300, Train RMSE: 0.9803, Test RMSE: 0.9577
Epoch 66/300, Train RMSE: 0.9761, Test RMSE: 0.9281
Epoch 67/300, Train RMSE: 0.9706, Test RMSE: 0.9556
Epoch 68/300, Train RMSE: 0.9575, Test RMSE: 0.9436
Epoch 69/300, Train RMSE: 0.9648, Test RMSE: 0.9455
Epoch 70/300, Train RMSE: 0.9689, Test RMSE: 0.9265
Epoch 71/300, Train RMSE: 0.9484, Test RMSE: 0.9165
Epoch 72/300, Train RMSE: 0.9560, Test RMSE: 0.9110
Epoch 73/300, Train RMSE: 0.9467, Test RMSE: 0.9208
Epoch 74/300, Train RMSE: 0.9546, Test RMSE: 0.9405
Epoch 75/300, Train RMSE: 0.9232, Test RMSE: 0.9365
Epoch 76/300, Train RMSE: 0.9361, Test RMSE: 0.8758
Epoch 77/300, Train RMSE: 0.9234, Test RMSE: 0.8744
Epoch 78/300, Train RMSE: 0.9196, Test RMSE: 0.9258
